DateTime,Entries,UniqueIPs
1468031539,5467,5657
1468039301,5472,5663
1468045932,5488,5679
1468054908,5456,5647
1468062690,5456,5650
1468074721,5396,5588
1468082540,5418,5610
1468092720,5474,5664
1468099885,5485,5676
1468105928,5473,5662
1468114302,5490,5679
1468122116,5476,5664
1468131120,5459,5649
1468139513,5457,5648
1468147309,5461,5650
1468153899,5568,5758
1468161723,5560,5750
1468170728,5554,5744
1468179767,5535,5727
1468189300,5562,5757
1468196511,5556,5751
1468204334,5554,5749
1468211550,5534,5730
1468218107,5506,5703
1468226559,5470,5664
1468236724,5483,5677
1468246944,5461,5654
1468255959,5538,5732
1468263135,5536,5732
1468272144,5523,5716
1468281730,5521,5714
1468290146,5545,5739
1468299736,5530,5725
1468308709,5512,5707
1468317515,5539,5735
1468325900,5548,5742
1468335725,5555,5752
1468345935,5579,5773
1468358540,5567,5761
1468367551,5556,5750
1468378330,5574,5768
1468387349,5562,5752
1468396941,5574,5767
1468407728,5548,5736
1468416145,5532,5721
1468426370,5579,5771
1468433533,5640,5833
1468442528,5588,5781
1468452129,5567,5760
1468460533,5589,5783
1468469537,5549,5741
1468479734,5578,5771
1468490520,5565,5757
1468497716,5573,5765
1468505546,5535,5721
1468512747,5537,5725
1468522920,5585,5771
1468531333,5559,5743
1468539724,5547,5730
1468546951,5547,5729
1468556536,5541,5723
1468566708,5498,5676
1468575738,5490,5667
1468582948,5505,5682
1468591322,5492,5669
1468599124,5471,5648
1468606314,5571,5751
1468614760,5553,5732
1468623721,5579,5760
1468636374,5563,5743
1468645951,5551,5732
1468656712,5552,5732
1468665751,5559,5740
1468679503,5555,5737
1468688515,5607,5791
1468695717,5622,5806
1468704124,5606,5789
1468711320,5621,5804
1468718533,5618,5800
1468725742,5617,5799
1468733512,5607,5789
1468740132,5607,5791
1468747314,5588,5772
1468755725,5581,5761
1468764732,5607,5788
1468771913,5607,5788
1468780901,5638,5820
1468788109,5615,5798
1468794736,5620,5804
1468800705,5603,5787
1468807934,5627,5813
1468815133,5600,5788
1468820522,5580,5768
1468828335,5569,5756
1468836120,5559,5747
1468843321,5543,5728
1468850504,5546,5732
1468857721,5520,5706
1468864936,5553,5741
1468872109,5551,5736
1468878130,5525,5710
1468885315,5541,5727
1468891940,5497,5681
1468897927,5483,5667
1468903351,5490,5674
1468910498,5476,5657
1468918905,5458,5647
1468924297,5431,5619
1468930299,5449,5637
1468939937,5435,5623
1468947111,5411,5598
1468954325,5435,5622
