DateTime,Entries,UniqueIPs
1468006951,1417,1417
1468014733,1417,1417
1468021922,1422,1422
1468031539,1444,1444
1468039301,1482,1482
1468045932,1488,1488
1468054908,1467,1467
1468062690,1473,1473
1468074721,1430,1430
1468082540,1398,1398
1468092720,1456,1456
1468099885,1463,1463
1468105928,1499,1499
1468114302,1487,1487
1468122116,1478,1478
1468131120,1458,1458
1468139513,1457,1457
1468147309,1487,1487
1468153899,1634,1634
1468161723,1686,1686
1468170728,1670,1670
1468179767,1604,1604
1468189300,1584,1584
1468196511,1583,1583
1468204334,1577,1577
1468211550,1556,1556
1468218107,1607,1607
1468226559,1663,1663
1468236724,1679,1679
1468246944,1665,1665
1468255959,1819,1819
1468263135,1879,1879
1468272144,1985,1985
1468281730,1986,1986
1468290146,1896,1896
1468299736,1860,1860
1468308709,1813,1813
1468317515,1735,1735
1468325900,1714,1714
1468335725,1723,1723
1468345935,1772,1772
1468358540,1724,1724
1468367551,1759,1759
1468378330,1738,1738
1468387349,1763,1763
1468396941,1739,1739
1468407728,1719,1719
1468416145,1674,1674
1468426370,1727,1727
1468433533,1767,1767
1468442528,1705,1705
1468452129,1672,1672
1468460533,1627,1627
1468469537,1601,1601
1468479734,1631,1631
1468490520,1638,1638
1468497716,1641,1641
1468505546,1599,1599
1468512747,1585,1585
1468522920,1631,1631
1468531333,1676,1676
1468539724,1702,1702
1468546951,1708,1708
1468556536,1668,1668
1468566708,1647,1647
1468575738,1522,1522
1468582948,1580,1580
1468591322,1681,1681
1468599124,1695,1695
1468606314,1855,1855
1468614760,1791,1791
1468623721,1931,1931
1468636374,1836,1836
1468645951,1814,1814
1468656712,1718,1718
1468665751,1684,1684
1468679503,1569,1569
1468688515,1550,1550
1468695717,1520,1520
1468704124,1487,1487
1468711320,1461,1461
1468718533,1482,1482
1468725742,1471,1471
1468733512,1474,1474
1468740132,1535,1535
1468747314,1509,1509
1468755725,1508,1508
1468764732,1525,1525
1468771913,1491,1491
1468780901,1551,1551
1468788109,1483,1483
1468794736,1456,1456
1468800705,1464,1464
1468807934,1441,1441
1468815133,1452,1452
1468820522,1443,1443
1468828335,1462,1462
1468836120,1454,1454
1468843321,1426,1426
1468850504,1386,1386
1468857721,1357,1357
1468864936,1400,1400
1468872109,1357,1357
1468878130,1360,1360
1468885315,1389,1389
1468891940,1359,1359
1468897927,1353,1353
1468903351,1328,1328
1468910498,1318,1318
1468918905,1325,1325
1468924297,1338,1338
1468930299,1340,1340
1468939937,1327,1327
1468947111,1299,1299
1468954325,1276,1276
1468960911,1319,1319
1468968106,1345,1345
1468975916,1380,1380
1468984338,1418,1418
