DateTime,Entries,UniqueIPs
1465674062,2061,2118
1465684866,2039,2097
1465693866,2059,2120
1465707661,2140,2202
1465718465,1959,2025
1465729265,2005,2072
1465740065,2042,2111
1465750865,1919,1978
1465764066,1993,2052
1465776664,2047,2104
1465788665,2017,2071
1465801266,2020,2075
1465814461,2093,2153
1465827064,2075,2138
1465836663,1889,1949
1465848663,2033,2096
1465860665,2162,2221
1465874470,2251,2314
1465881668,2221,2281
1465889473,2135,2194
1465903867,2153,2214
1465917660,2244,2308
1465931459,2294,2350
1465958461,2184,2248
1465969258,2243,2313
1465979468,2131,2197
1465992669,1996,2060
1466007066,2026,2085
1466019062,1941,1996
1466029262,2011,2068
1466040660,2130,2195
1466051466,2078,2143
1466062867,2145,2201
1466075466,2142,2200
1466088664,2039,2096
1466102466,2114,2173
1466116266,2248,2312
1466130067,2169,2232
1466139062,2160,2219
1466152866,2214,2276
1466167265,2207,2266
1466175667,2093,2152
1466189465,2065,2122
1466203261,2122,2178
1466217662,2189,2246
1466225465,2037,2090
1466239262,2153,2207
1466250659,2110,2163
1466264465,2227,2285
1466270465,1944,1993
1466279462,2044,2094
1466292060,2106,2162
1466299262,2146,2202
1466307061,2222,2280
1466320865,2118,2183
1466328067,2092,2157
1466335864,2121,2183
1466343663,2218,2280
1466353863,2266,2336
1466368263,2248,2316
1466382067,2317,2395
1466388668,2375,2452
1466397066,2365,2446
1466406070,2352,2438
1466413271,2394,2480
1466437265,2335,2410
1466446267,2381,2461
1466454666,2273,2348
1466469065,2393,2472
1466475671,2291,2362
1466486474,2364,2439
1466494274,2399,2479
1466502076,2186,2263
1466509268,2214,2291
1466518866,2328,2408
1466527865,2381,2458
1466536263,2423,2498
1466542866,2392,2464
1466551265,2360,2432
1466559668,2436,2509
1466568070,2391,2462
1466582473,2483,2556
1466592072,2411,2467
1466601670,2349,2407
1466616068,2265,2316
1466628067,2280,2336
1466642471,2399,2460
1466650869,2300,2356
1466658670,2207,2261
1466668269,2223,2274
1466676673,2347,2404
1466685072,2386,2443
1466692872,2285,2340
1466703072,2200,2252
1466710870,2157,2205
1466722264,2314,2365
1466731870,2433,2490
1466740270,2384,2444
1466748666,2268,2331
1466758871,2279,2344
1466767272,2333,2399
1466773874,2364,2426
1466782869,2328,2389
1466797264,2365,2429
1466810466,2393,2452
1466817667,2446,2509
1466832069,2547,2616
1466839872,2422,2488
1466849479,2393,2458
1466857272,2484,2551
1466865670,2483,2553
1466874669,2483,2552
1466883668,2348,2416
1466891466,2398,2466
1466898666,2454,2522
1466907664,2499,2566
1466915470,2505,2573
1466923268,2606,2676
1466932870,2559,2626
1466940670,2494,2559
1466948465,2478,2541
1466958068,2535,2592
1466972469,2638,2701
1466981466,2509,2570
1466989266,2521,2585
1467000065,2635,2701
1467008466,2618,2682
1467017475,2697,2763
1467027075,2651,2718
1467036069,2665,2730
1467043871,2435,2494
1467052867,2572,2634
1467066065,2654,2721
1467073265,2589,2656
1467085266,2591,2662
1467099075,2659,2733
1467105073,2508,2578
1467114674,2486,2557
1467122471,2424,2493
1467136270,2549,2620
1467150070,2438,2503
1467164465,2610,2677
1467172267,2363,2421
1467186666,2424,2481
1467199270,2464,2517
1467213671,2561,2618
1467227469,2319,2366
1467239470,2368,2414
1467250867,2461,2513
1467263468,2539,2598
1467277874,2340,2398
1467291670,2359,2414
1467303076,2331,2389
1467311475,2205,2260
1467324666,2313,2371
1467337271,2374,2439
1467351671,2404,2469
1467366180,2180,2240
1467387700,2305,2368
1467396098,2423,2492
1467409327,2364,2430
1467422534,2460,2530
1467430949,2466,2536
1467442287,2465,2529
1467450721,2348,2405
1467458520,2396,2454
1467472891,2528,2591
1467486694,2573,2634
1467494508,2451,2508
1467501724,2517,2581
1467511309,2491,2552
1467524521,2517,2583
1467532901,2516,2583
1467546700,2575,2643
1467561083,2371,2434
1467568910,2396,2456
1467576106,2542,2606
1467585736,2705,2772
1467594103,2711,2787
1467601898,2568,2633
1467615701,2589,2657
1467630097,2653,2724
1467637304,2582,2656
1467645102,2609,2682
1467653511,2659,2734
1467661305,2586,2659
1467675722,2675,2757
1467685967,2670,2745
1467693104,2532,2606
1467702117,2419,2485
1467715329,2452,2515
1467723698,2609,2674
1467731528,2544,2611
1467738687,2639,2706
1467750103,2621,2685
1467763933,2464,2525
1467778327,2593,2658
1467785534,2590,2660
1467793331,2503,2570
1467800532,2448,2515
1467808338,2638,2709
1467816128,2675,2747
1467823363,2670,2742
1467832298,2690,2767
1467845545,2657,2735
1467853304,2579,2650
1467862327,2627,2697
1467876109,2770,2850
1467883932,2720,2799
1467892920,2679,2753
1467900118,2629,2703
1467908535,2612,2681
1467917560,2699,2772
1467925922,2618,2692
1467934291,2599,2674
1467948090,2584,2661
1467962514,2610,2683
1467969704,2533,2605
1467977498,2663,2740
1467989515,2693,2770
1467998503,2607,2675
1468006941,2572,2637
1468014723,2591,2659
1468021912,2495,2561
1468031528,2425,2490
1468045921,2589,2659
1468054899,2597,2668
1468062680,2579,2642
1468074712,2608,2676
1468082531,2546,2615
1468092711,2610,2677
1468105918,2670,2741
1468114292,2564,2630
1468122107,2522,2590
1468131109,2481,2549
1468139506,2606,2675
1468153890,2791,2870
1468161712,2616,2688
1468170718,2583,2656
1468179754,2582,2661
1468189290,2591,2674
1468196500,2655,2739
1468204323,2626,2711
1468218095,2767,2856
1468226551,2630,2707
1468236715,2714,2795
1468246935,2826,2912
1468255949,3019,3105
1468263124,2946,3030
1468272131,2963,3046
1468281718,3037,3121
1468290135,3113,3202
1468299722,3038,3126
1468308700,3064,3155
1468317131,3074,3166
1468325517,3072,3157
1468335715,3057,3141
1468345925,3160,3246
1468358523,3149,3233
1468367540,3077,3158
1468378318,3025,3108
1468387338,2872,2946
1468396932,2853,2930
1468407717,2765,2838
1468416135,2754,2824
1468426360,2811,2893
1468433523,2859,2938
1468442518,2870,2953
1468452116,2927,3010
1468460522,2832,2906
1468469525,2814,2887
1468479725,2891,2963
1468490510,2890,2967
1468497707,2862,2937
1468505534,2740,2812
1468512738,2711,2777
1468522910,2919,2991
1468531318,2866,2932
1468539711,2847,2917
1468546941,2846,2919
1468556525,2727,2796
1468566700,2651,2716
1468575725,2715,2779
1468582939,2796,2862
1468591312,2872,2941
1468599116,2861,2927
1468606303,2781,2839
1468614750,2831,2891
1468623710,2956,3017
1468636362,3018,3081
1468645940,2911,2974
1468656702,2830,2893
1468665741,2836,2905
1468679495,2913,2981
1468688501,2958,3032
1468695708,2901,2975
1468704114,2762,2831
1468718523,2715,2779
1468725732,2720,2783
1468740124,2673,2735
1468747307,2603,2661
1468755716,2449,2500
1468764724,2378,2431
1468771904,2525,2583
1468780891,2573,2631
1468794727,2623,2681
1468807924,2457,2518
1468820513,2500,2564
1468828327,2558,2621
1468836112,2530,2592
1468850496,2588,2649
1468864928,2607,2670
1468878118,2538,2596
1468891930,2512,2574
1468903341,2407,2464
1468910489,2370,2428
1468924289,2477,2543
1468930291,2224,2289
1468939929,2297,2364
1468954317,2268,2332
1468968097,2337,2400
1468975907,2264,2330
1468990296,2408,2475
1469004692,2320,2387
1469019107,2395,2464
1469026893,2280,2338
1469040711,2235,2289
1469054493,2314,2372
1469062910,2469,2532
1469076715,2375,2434
1469091128,2516,2580
1469097701,2370,2430
1469106729,2415,2476
1469114507,2415,2476
1469128929,2391,2454
1469142694,2327,2389
1469157113,2356,2411
1469164303,2367,2431
1469178688,2393,2469
1469185918,2291,2366
1469193693,2312,2387
1469208115,2287,2353
1469221922,2282,2350
1469235706,2181,2252
1469246494,2180,2256
1469257302,2199,2271
1469268115,2280,2350
1469279467,2362,2424
1469287262,2192,2247
1469301062,2252,2307
1469314865,2282,2344
1469326259,2274,2331
1469338863,2322,2381
1469346068,2258,2315
1469360470,2284,2339
1469374866,2301,2359
1469389260,2108,2161
1469401260,2110,2165
1469412659,2003,2060
1469423460,2022,2087
1469433660,2103,2171
1469445061,2047,2105
1469457661,2204,2265
1469472058,2121,2184
1469484058,2147,2212
1469494861,2247,2318
1469505663,2238,2306
1469518867,2253,2321
1469530869,2245,2315
1469541670,2299,2365
1469554870,2287,2352
1469565070,2159,2214
1469575865,2158,2216
1469586671,2249,2308
1469598070,2242,2306
1469610676,2230,2292
1469623272,2220,2284
1469635868,2275,2344
1469650262,2364,2435
1469662261,2380,2452
1469673066,2337,2404
1469686266,2295,2355
1469698868,2283,2344
1469709664,2220,2280
1469721057,2163,2219
1469734859,2355,2415
1469746862,2376,2438
1469758262,2382,2444
1469772663,2285,2338
1469785269,2227,2274
1469796660,2353,2403
1469808055,2087,2142
1469821257,2158,2217
1469831458,2321,2386
1469844659,2323,2392
1469857259,2255,2319
1469871066,2190,2250
1469881868,2208,2266
1469892669,2224,2280
1469903467,2261,2319
1469914270,2163,2216
1469925067,2176,2225
1469938261,2193,2246
1469952663,2156,2213
1469962863,2058,2119
1469974268,2112,2171
1469988664,2185,2244
1470000663,2204,2266
1470011462,2160,2222
1470021662,1886,1941
