DateTime,AddedIPs,RemovedIPs
1465707661,23,62
1465718465,22,17
1465729265,7,0
1465740065,18,70
1465750865,8,0
1465764066,37,107
1465776664,39,0
1465788665,42,37
1465801266,18,75
1465814461,27,27
1465827064,29,78
1465836663,17,39
1465848663,36,88
1465860665,107,0
1465874470,37,57
1465881668,14,23
1465889473,11,49
1465903867,24,0
1465917660,31,16
1465931459,42,72
1465958461,81,67
1465969258,18,63
1465979468,29,50
1465992669,15,14
1466007066,42,0
1466019062,31,85
1466029262,15,21
1466040660,70,48
1466051466,22,39
1466062867,26,0
1466075466,17,48
1466088664,19,29
1466102466,49,30
1466116266,106,22
1466130067,37,60
1466139062,20,18
1466152866,53,22
1466167265,33,38
1466175667,13,49
1466189465,38,50
1466203261,24,32
1466217662,80,18
1466225465,11,57
1466239262,30,25
1466250659,31,17
1466264465,29,25
1466270465,6,31
1466279462,40,25
1466292060,77,15
1466299262,28,37
1466307061,26,29
1466320865,15,0
1466328067,23,13
1466335864,27,39
1466343663,22,30
1466353863,25,0
1466368263,18,34
1466382067,175,15
1466388668,29,70
1466397066,14,0
1466406070,29,40
1466413271,12,41
1466437265,51,19
1466446267,38,28
1466454666,3,40
1466469065,36,48
1466475671,56,12
1466486474,29,0
1466494274,14,80
1466502076,24,51
1466509268,8,0
1466518866,34,36
1466527865,52,0
1466536263,24,60
1466542866,22,0
1466551265,12,0
1466559668,31,21
1466568070,45,0
1466582473,43,24
1466592072,19,24
1466601670,8,55
1466616068,37,31
1466628067,31,29
1466642471,69,35
1466650869,8,12
1466658670,20,23
1466668269,18,44
1466676673,32,35
1466685072,21,0
1466692872,13,44
1466703072,16,0
1466710870,23,29
1466722264,35,35
1466731870,96,27
1466740270,8,0
1466748666,21,62
1466758871,20,35
1466767272,34,21
1466773874,25,0
1466782869,19,42
1466797264,17,45
1466810466,145,29
1466817667,43,9
1466832069,23,0
1466839872,25,79
1466849479,20,0
1466857272,30,22
1466865670,27,15
1466874669,47,0
1466883668,10,18
1466891466,8,31
1466898666,94,14
1466907664,40,15
1466915470,11,28
1466923268,32,28
1466932870,14,0
1466940670,17,27
1466948465,20,21
1466958068,25,12
1466972469,64,16
1466981466,9,43
1466989266,101,23
1467000065,30,16
1467008466,11,37
1467017475,42,17
1467027075,5,106
1467036069,26,0
1467043871,24,22
1467052867,36,7
1467066065,30,38
