DateTime,AddedIPs,RemovedIPs
1465707661,228,273
1465718465,173,155
1465729265,115,91
1465740065,169,205
1465750865,119,142
1465764066,258,256
1465776664,191,163
1465788665,199,219
1465801266,146,172
1465814461,218,225
1465827064,183,206
1465836663,104,85
1465848663,244,171
1465860665,336,207
1465874470,319,287
1465881668,104,68
1465889473,80,92
1465903867,205,261
1465917660,205,314
1465931459,243,262
1465958461,355,333
1465969258,182,212
1465979468,187,170
1465992669,142,159
1466007066,285,329
1466019062,211,211
1466029262,137,163
1466040660,225,170
1466051466,139,121
1466062867,249,211
1466075466,155,177
1466088664,199,252
1466102466,289,269
1466116266,345,260
1466130067,157,144
1466139062,165,178
1466152866,266,275
1466167265,223,212
1466175667,98,119
1466189465,198,232
1466203261,250,279
1466217662,284,223
1466225465,73,75
1466239262,205,286
1466250659,204,210
1466264465,218,194
1466270465,59,78
1466279462,158,140
1466292060,302,257
1466299262,139,110
1466307061,140,115
1466320865,148,167
1466328067,158,150
1466335864,190,198
1466343663,147,140
1466353863,188,175
1466368263,127,148
1466382067,388,254
1466388668,197,171
1466397066,157,151
1466406070,130,149
1466413271,83,106
1466437265,401,475
1466446267,201,173
1466454666,81,86
1466469065,219,219
1466475671,159,99
1466486474,267,241
1466494274,147,143
1466502076,132,207
1466509268,71,90
1466518866,183,170
1466527865,237,318
1466536263,136,154
1466542866,155,156
1466551265,60,82
1466559668,161,138
1466568070,164,109
1466582473,320,304
1466592072,181,207
1466601670,97,120
1466616068,208,266
1466628067,296,288
1466642471,257,191
1466650869,88,103
1466658670,164,158
1466668269,223,272
1466676673,187,175
1466685072,178,167
1466692872,106,104
1466703072,172,216
1466710870,114,118
1466722264,262,264
1466731870,277,158
1466740270,90,104
1466748666,134,135
1466758871,184,182
1466767272,244,222
1466773874,136,112
1466782869,142,213
1466797264,190,262
1466810466,414,309
1466817667,184,163
1466832069,239,198
1466839872,93,105
1466849479,191,200
1466857272,257,217
1466865670,192,162
1466874669,217,212
1466883668,69,114
1466891466,110,196
1466898666,209,119
1466907664,280,261
1466915470,133,96
1466923268,205,180
