DateTime,Entries,UniqueIPs
1468500964,6975,7066
1468508164,6987,7078
1468511764,6996,7087
1468518964,7022,7114
1468522563,7030,7125
1468529764,7035,7130
1468533363,7041,7136
1468540564,7042,7137
1468544164,7036,7131
1468551363,7052,7147
1468554964,7054,7149
1468562164,7070,7165
1468565765,7070,7165
1468572964,7070,7166
1468576563,7062,7158
1468583764,7072,7169
1468587364,7070,7167
1468594563,7086,7183
1468598164,7094,7191
1468605363,7111,7208
1468608964,7115,7211
1468612564,7116,7212
1468616163,7121,7217
1468623364,7124,7221
1468626964,7130,7227
1468634164,7117,7213
1468637763,7120,7216
1468644964,7119,7215
1468648564,7115,7213
1468655763,7119,7218
1468659364,7120,7219
1468666564,7114,7213
1468670164,7116,7216
1468677364,7145,7245
1468680964,7153,7253
1468688163,7164,7264
1468691763,7168,7268
1468698964,7173,7273
1468702563,7168,7269
1468709763,7174,7275
1468713363,7176,7277
1468720563,7173,7274
1468724164,7171,7272
1468731364,7170,7271
1468734963,7167,7268
1468742164,7172,7273
1468745768,7170,7271
1468752965,7169,7270
1468756564,7165,7265
1468763763,7167,7267
1468767365,7173,7273
1468774563,7173,7274
1468778164,7175,7275
1468785364,7186,7286
1468788964,7179,7279
1468796164,7180,7280
1468799764,7187,7287
1468806963,7179,7279
1468810563,7178,7278
1468817764,7175,7276
1468821364,7179,7280
1468824963,7181,7283
1468828563,7180,7282
1468835764,7189,7292
1468839363,7191,7294
1468846563,7198,7300
1468850164,7198,7300
1468857364,7207,7309
1468860963,7205,7305
1468868164,7213,7314
1468871763,7211,7312
1468878963,7207,7308
1468882563,7210,7311
1468889763,7207,7309
1468893364,7202,7304
1468900565,7202,7304
1468904164,7200,7302
1468907763,7199,7301
1468911363,7196,7296
1468918563,7200,7301
1468922164,7206,7309
1468929364,7205,7307
1468932963,7210,7312
1468940163,7220,7322
1468943764,7211,7312
1468950964,7225,7326
1468954563,7215,7315
1468961764,7216,7316
1468965364,7215,7315
1468968964,7226,7326
1468972563,7231,7331
1468979764,7219,7319
1468983363,7217,7316
1468990565,7215,7314
1468994163,7208,7307
1469001364,7210,7309
1469004964,7207,7306
1469012163,7196,7295
1469015764,7194,7293
1469022964,7206,7305
1469026564,7202,7301
1469030164,7205,7304
1469033763,7202,7301
1469040964,7205,7304
1469044563,7203,7302
1469051764,7205,7305
1469055368,7213,7313
1469062563,7207,7307
1469066164,7203,7303
1469073363,7198,7298
1469076963,7199,7299
1469084163,7195,7296
1469087763,7200,7301
1469094964,7212,7313
1469098563,7216,7317
1469105764,7220,7321
1469109364,7218,7319
1469116563,7220,7320
1469120163,7235,7336
1469127364,7230,7331
1469130964,7237,7338
1469138164,7235,7336
1469141763,7244,7345
1469148965,7232,7333
1469152564,7235,7336
1469156163,7223,7324
1469159763,7217,7318
1469163364,7205,7305
1469170564,7203,7303
1469174164,7208,7308
1469181364,7206,7306
1469184965,7189,7289
1469192164,7203,7303
1469195764,7200,7301
1469202963,7178,7279
1469206563,7185,7286
1469213764,7185,7288
1469217363,7187,7290
1469224563,7200,7303
1469228164,7188,7291
1469235363,7192,7295
1469238964,7179,7281
1469246164,7192,7294
1469249765,7175,7277
1469256964,7177,7279
1469260564,7160,7262
1469267764,7169,7271
1469271363,7147,7249
1469278564,7149,7251
1469282163,7162,7264
1469289363,7162,7264
1469292964,7161,7263
1469300164,7164,7266
1469303763,7163,7265
1469310963,7164,7267
1469314564,7163,7266
1469321763,7160,7264
1469325363,7159,7263
1469332563,7156,7261
1469336164,7160,7264
1469343364,7160,7265
1469346964,7162,7267
1469354164,7163,7267
1469357764,7162,7265
1469364964,7149,7252
1469368564,7145,7248
1469375765,7154,7257
1469379364,7155,7258
1469382963,7150,7253
1469386563,7155,7258
1469390163,7148,7252
1469397364,7142,7245
1469400963,7141,7244
1469408163,7139,7242
1469411764,7140,7243
1469415363,7134,7236
1469418963,7138,7240
1469422564,7133,7235
1469429764,7136,7238
1469433364,7147,7249
1469440564,7146,7249
1469444163,7142,7245
1469451364,7147,7250
1469454964,7144,7246
1469462164,7140,7242
1469465763,7141,7243
1469472964,7140,7242
1469476563,7132,7235
1469483765,7133,7236
1469487364,7120,7223
1469494564,7114,7217
1469498168,7107,7210
1469505365,7111,7214
1469508963,7114,7218
1469516163,7106,7209
1469519763,7108,7211
1469526963,7108,7211
1469530563,7107,7210
1469537763,7100,7204
1469541364,7099,7203
1469548564,7104,7208
1469552163,7080,7184
1469559364,7099,7204
1469562965,7093,7198
1469570164,7087,7192
1469573763,7088,7193
1469580964,7083,7188
1469584564,7077,7182
1469591763,7084,7190
1469595364,7078,7184
1469602563,7079,7185
1469606164,7080,7186
1469613363,7069,7174
1469616964,7078,7183
1469624164,7080,7185
1469627763,7083,7189
1469634964,7084,7188
1469638563,7083,7187
1469645764,7086,7190
1469649364,7092,7196
1469656563,7101,7205
1469660163,7100,7204
1469667363,7093,7196
1469670964,7089,7192
1469678163,7088,7191
1469681764,7081,7184
1469688963,7077,7180
1469692563,7071,7174
1469699764,7063,7166
1469703363,7056,7158
1469710564,7050,7152
1469714163,7045,7146
1469721365,7052,7153
1469724963,7047,7148
1469732164,7047,7148
1469735764,7050,7150
1469742963,7043,7143
1469746564,7043,7143
1469753764,7038,7137
1469757364,7028,7127
1469764564,7024,7121
1469768163,7022,7119
1469775363,7024,7120
1469778963,7023,7119
1469786163,7015,7111
1469789763,7008,7104
1469796963,7009,7105
1469800564,7010,7106
