DateTime,AddedIPs,RemovedIPs
1468518964,55,14
1468522563,18,7
1468529764,15,18
1468533363,17,18
1468540564,7,20
1468544164,3,9
1468551363,20,16
1468554964,13,12
1468562164,28,14
1468565765,8,6
1468572964,13,14
1468576563,15,6
1468583764,17,20
1468587364,3,7
1468594563,23,9
1468598164,15,4
1468605363,26,16
1468608964,15,8
1468612564,9,0
1468616163,7,9
1468623364,26,8
1468626964,7,13
1468634164,4,6
1468637763,4,16
1468644964,8,8
1468648564,8,7
1468655763,19,7
1468659364,7,9
1468666564,11,13
1468670164,7,7
1468677364,41,4
1468680964,16,10
1468688163,22,9
1468691763,6,2
1468698964,12,11
1468702563,2,10
1468709763,12,16
1468713363,9,4
1468720563,7,12
1468724164,4,5
1468731364,9,11
1468734963,4,17
1468742164,16,21
1468745768,3,9
1468752965,10,21
1468756564,8,7
1468763763,16,26
1468767365,10,1
1468774563,17,16
1468778164,10,10
1468785364,14,5
1468788964,3,18
1468796164,16,18
1468799764,7,9
1468806963,6,14
1468810563,3,18
1468817764,6,18
1468821364,6,41
1468824963,5,14
1468828563,5,29
1468835764,17,0
1468839363,9,14
1468846563,17,25
1468850164,5,34
1468857364,15,0
1468860963,6,12
1468868164,19,45
1468871763,7,19
1468878963,8,11
1468882563,9,0
1468889763,5,20
1468893364,0,22
1468900565,3,5
1468904164,5,23
1468907763,6,0
1468911363,4,20
1468918563,14,10
1468922164,11,24
1468929364,10,0
1468932963,7,13
1468940163,24,37
1468943764,7,15
1468950964,20,50
1468954563,8,15
1468961764,10,31
1468965364,9,47
1468968964,16,0
1468972563,9,3
1468979764,4,22
1468983363,5,5
1468990565,14,22
1468994163,3,2
1469001364,14,9
1469004964,11,23
1469012163,17,14
1469015764,5,28
1469022964,20,56
1469026564,13,24
1469030164,5,0
1469033763,8,48
1469040964,18,2
1469044563,10,18
1469051764,17,11
1469055368,17,24
1469062563,7,10
1469066164,5,20
1469073363,5,27
1469076963,7,20
1469084163,17,9
1469087763,12,25
1469094964,31,14
1469098563,18,28
1469105764,22,14
1469109364,12,30
1469116563,29,35
1469120163,20,50
1469127364,17,16
1469130964,11,25
1469138164,25,14
1469141763,15,40
1469148965,14,14
1469152564,5,21
1469156163,3,12
1469159763,9,0
1469163364,3,25
1469170564,9,14
1469174164,9,23
1469181364,11,22
1469184965,13,22
1469192164,19,17
1469195764,15,15
1469202963,15,10
1469206563,11,22
1469213764,18,11
1469217363,17,29
1469224563,22,45
1469228164,15,14
1469235363,10,15
1469238964,9,20
1469246164,26,14
1469249765,8,6
1469256964,10,24
1469260564,6,4
1469267764,13,21
1469271363,7,10
1469278564,8,33
1469282163,14,6
1469289363,16,12
1469292964,9,6
1469300164,9,13
1469303763,9,5
1469310963,12,18
1469314564,9,11
1469321763,17,11
1469325363,7,13
1469332563,7,12
1469336164,13,11
1469343364,22,17
1469346964,6,9
1469354164,23,22
1469357764,10,4
1469364964,11,19
1469368564,6,18
1469375765,31,17
1469379364,3,9
1469382963,14,14
1469386563,7,0
1469390163,3,10
1469397364,5,17
1469400963,10,10
1469408163,11,15
1469411764,3,9
1469415363,2,10
1469418963,5,0
1469422564,6,8
1469429764,23,7
1469433364,17,27
1469440564,17,0
1469444163,8,14
1469451364,13,6
1469454964,19,0
1469462164,11,14
1469465763,9,4
1469472964,16,34
1469476563,7,0
1469483765,10,16
1469487364,6,22
1469494564,8,0
1469498168,1,2
1469505365,10,11
1469508963,10,18
1469516163,10,7
