DateTime,Entries,UniqueIPs
1470837849,1431,1431
1470838329,1431,1431
1470838834,1431,1431
1470839288,1431,1431
1470839776,1437,1437
1470840249,1440,1440
1470840737,1439,1439
1470841453,1440,1440
1470841933,1441,1441
1470842890,1440,1440
1470843371,1439,1439
1470843849,1440,1440
1470845296,1440,1440
1470845771,1438,1438
1470846247,1439,1439
1470846733,1438,1438
1470847207,1439,1439
1470848653,1439,1439
1470849128,1438,1438
1470849626,1439,1439
1470850581,1438,1438
1470851047,1438,1438
1470851539,1438,1438
1470852025,1439,1439
1470852490,1438,1438
1470852972,1439,1439
1470853448,1438,1438
1470853928,1439,1439
1470855850,1439,1439
1470856339,1437,1437
1470856828,1438,1438
1470857300,1438,1438
1470857766,1439,1439
1470858258,1438,1438
1470859459,1436,1436
1470859926,1437,1437
1470862822,1435,1435
1470863298,1436,1436
1470864496,1437,1437
1470865213,1437,1437
1470865697,1437,1437
1470866422,1437,1437
1470866888,1438,1438
1470868807,1437,1437
1470869291,1438,1438
1470869775,1438,1438
1470871212,1437,1437
1470873131,1436,1436
1470873620,1436,1436
1470874098,1436,1436
1470874581,1437,1437
1470876981,1438,1438
1470877450,1437,1437
1470877929,1436,1436
1470878408,1437,1437
1470879375,1436,1436
1470879847,1436,1436
1470880327,1437,1437
1470881785,1436,1436
1470882247,1437,1437
1470884176,1437,1437
1470885134,1436,1436
1470885615,1436,1436
1470886087,1437,1437
1470886572,1436,1436
1470887049,1437,1437
1470887538,1436,1436
1470888249,1436,1436
1470888739,1437,1437
1470890167,1436,1436
1470890647,1436,1436
1470891126,1435,1435
1470891859,1436,1436
1470892809,1437,1437
1470893770,1436,1436
1470894251,1436,1436
1470894740,1437,1437
1470895448,1436,1436
1470895926,1437,1437
1470896888,1436,1436
1470897379,1437,1437
1470897857,1436,1436
1470898336,1436,1436
1470899050,1435,1435
1470899526,1436,1436
1470900012,1434,1434
1470900486,1435,1435
1470900968,1436,1436
1470902415,1435,1435
1470902888,1436,1436
1470903855,1435,1435
1470904331,1436,1436
1470904808,1436,1436
1470905299,1438,1438
1470905781,1436,1436
1470906258,1437,1437
1470907212,1436,1436
1470907936,1436,1436
1470908408,1437,1437
1470910326,1436,1436
1470910818,1438,1438
1470911287,1438,1438
