DateTime,AddedIPs,RemovedIPs
1460382325,81,40
1460395714,17,0
1460423570,86,100
1460442681,37,64
1460468152,88,46
1460482018,28,0
1460506523,77,101
1460528478,24,0
1460553011,72,78
1460568610,33,44
1460592879,47,42
1460615381,31,0
1460639619,57,105
1460654227,21,0
1460678078,62,53
1460702046,25,75
1460726142,50,0
1460741064,19,42
1460767058,81,85
1460787757,35,45
1460812040,57,0
1460827602,23,36
1460852368,63,41
1460874863,28,46
1460898758,45,108
1460913787,24,0
1460939879,61,45
1460960470,36,37
1460985745,63,63
1461000140,24,46
1461024481,57,68
1461047082,21,131
1461070726,62,0
1461086712,10,109
1461111027,56,0
1461133539,20,51
1461158673,53,99
1461173007,23,35
1461197751,46,0
1461220141,18,78
1461246498,59,48
1461260182,10,51
1461286014,62,44
1461307053,18,0
1461331648,49,74
1461346141,26,50
1461370606,36,53
1461392903,16,0
1461416621,52,65
1461432349,13,47
1461456733,48,36
1461479274,16,0
1461504679,51,73
1461519193,21,48
1461542121,53,0
1461565263,17,93
1461591169,59,42
1461604957,16,43
1461630271,41,0
1461652136,18,87
1461677042,59,0
1461691328,18,41
1461716330,64,72
1461738181,21,36
1461762512,51,0
1461777879,28,59
1461805029,72,46
1461824996,25,40
1461850099,50,0
1461864421,19,37
1461865753,13,33
1461910355,20,41
1461934617,39,27
1461950911,16,45
1461975995,60,54
1461998320,22,26
1462021417,50,38
1462037580,24,0
1462061634,54,69
1462084120,17,33
1462108169,49,0
1462123585,15,47
1462148540,70,76
1462170242,29,0
1462195123,57,28
1462210017,31,44
1462233307,50,75
1462256655,22,40
1462281955,63,43
1462296672,20,40
1462321875,62,44
1462343896,21,39
1462369389,59,41
1462382866,20,0
1462408771,50,55
1462430038,18,46
1462454452,48,71
1462469700,24,0
1462494550,56,31
1462515594,25,22
1462541606,65,30
1462555644,26,0
1462579873,64,18
1462602961,27,47
1462628482,58,68
1462642937,17,0
1462666877,53,71
1462689461,23,29
1462713649,56,42
1462729003,26,40
1462753143,41,40
1462775522,22,0
1462800605,46,69
1462815118,10,43
1462840313,43,44
1462861896,25,0
1462886323,49,77
1462901113,27,0
1462926653,58,42
1462947747,15,43
1462972577,41,27
1462987472,24,47
1463012299,60,69
1463035230,19,28
1463059916,55,43
1463073814,18,46
1463097436,49,0
1463121349,12,86
1463145357,51,41
1463160338,17,0
1463184738,50,88
1463207571,23,31
1463232651,43,0
1463246664,14,43
1463271627,42,32
1463294281,14,42
1463319497,50,81
1463333304,18,0
1463358282,56,22
1463380872,26,72
1463405766,41,49
1463419951,15,27
1463445300,51,46
1463466485,16,44
1463490238,56,0
1463506358,10,70
1463532305,55,46
1463552559,36,26
1463575927,44,42
1463592231,13,34
1463618214,68,0
1463639557,19,43
1463664368,47,22
1463678834,16,36
1463703882,83,29
1463725321,15,33
1463749026,53,23
1463766153,17,60
1463791644,69,44
1463812000,19,27
1463834355,35,0
1463852029,20,54
1463876876,60,37
1463898538,17,22
1463922474,71,0
1463938693,18,62
1463964036,52,47
1463985701,16,30
1464009285,72,42
1464024491,15,0
1464048177,57,32
1464071844,28,61
1464096886,68,35
1464111387,21,0
1464134962,64,95
1464157745,15,0
1464180791,44,16
1464197585,22,42
1464222526,71,78
1464243908,11,18
1464265923,64,0
1464283408,10,87
1464305066,44,0
1464330716,12,67
1464353047,59,0
1464369833,22,40
1464392412,48,41
1464417221,17,39
1464441895,64,58
1464456913,8,0
1464480961,47,88
1464503864,18,0
1464528311,62,83
1464543384,20,0
1464565710,40,36
1464589592,18,96
1464614632,61,0
1464628893,19,77
1464650624,47,0
1464675883,19,45
1464698736,44,37
1464716015,22,86
1464738293,46,0
1464762875,27,70
1464786168,54,38
1464801686,19,57
1464824252,61,0
1464848160,22,70
1464872374,46,30
1464887415,18,0
1464909484,57,30
1464934635,25,29
1464959466,49,58
1464974217,25,0
1464997840,66,71
1465021057,23,37
1465045072,68,0
1465060955,24,68
1465082917,59,0
1465108278,27,65
1465132347,61,0
1465146953,22,38
1465170333,64,64
1465194629,19,0
1465219037,43,95
1465233904,16,0
1465256743,35,69
1465280765,14,28
1465303005,44,44
1465320126,13,0
1465342119,46,37
1465367365,16,38
1465392558,71,42
1465406683,22,34
1465430598,43,74
1465452747,18,0
1465475346,46,34
1465492541,30,82
1465516075,57,43
1465540148,22,29
1465563536,41,39
1465580175,14,47
1465604295,76,41
1465626010,17,0
1465649067,49,58
1465665784,20,43
1465689755,46,91
1465712089,12,0
1465734804,43,33
1465751976,24,80
1465775949,53,39
1465799625,12,37
1465823906,48,0
1465838275,17,40
1465862290,47,49
1465885961,19,20
1465909950,54,37
1465925480,24,33
1465949068,55,24
1465972221,16,42
1465995968,48,38
1466011343,23,29
1466035857,58,0
1466058022,18,75
1466082424,53,36
1466097820,24,0
1466121047,61,77
1466143982,20,0
1466166559,47,34
1466183768,16,31
1466207365,61,47
1466231362,14,73
1466255594,40,32
1466270996,15,0
1466296118,41,49
1466317717,13,26
1466341344,53,40
1466357499,16,38
1466382415,64,35
1466403654,20,0
1466428334,50,32
1466443051,18,31
1466467396,61,32
1466490221,12,35
1466512391,65,38
1466529518,23,46
1466551603,52,38
1466576524,21,40
1466599142,46,40
1466616463,17,30
1466638349,40,45
1466663367,24,73
