DateTime,AddedIPs,RemovedIPs
1470834122,7,6
1470834721,2,0
1470835321,2,0
1470835921,1,4
1470836521,9,0
1470837122,4,0
1470837721,4,0
1470838322,10,1
1470838922,2,0
1470839522,4,0
1470840122,6,0
1470840722,6,1
1470841322,4,0
1470841921,3,2
1470842523,5,0
1470843722,2,2
1470844322,12,1
1470844922,13,0
1470845522,3,0
1470846122,9,0
1470846722,3,10
1470847322,16,1
1470847922,5,0
1470848522,1,4
1470849121,11,0
1470849721,3,11
1470850321,17,0
1470850921,5,0
1470851522,10,2
1470852121,11,0
1470852722,3,3
1470853322,4,4
1470853922,4,1
1470854522,3,1
1470855121,2,0
1470855722,3,3
1470856322,1,2
1470856922,3,0
1470858122,1,6
1470858722,10,0
1470859321,6,4
1470859922,4,0
1470860522,3,0
1470861123,2,0
1470861722,1,1
1470862322,3,13
1470862921,1,0
1470863522,5,3
1470864122,2,5
1470866523,0,13
1470867722,3,5
1470868922,11,0
1470869522,8,3
1470870123,2,0
1470870723,5,0
1470871922,9,10
1470872521,28,0
1470873122,1,0
1470874322,3,2
1470874921,9,1
1470875521,3,0
1470876121,14,0
1470876728,6,7
1470877321,3,5
1470877922,2,0
1470878522,7,3
1470879122,2,8
1470879722,1,0
1470880322,1,0
1470880922,1,1
1470881522,1,1
1470882121,3,3
1470882721,5,0
1470884522,2,5
1470885122,2,0
1470885722,10,2
1470886321,8,1
1470886922,4,13
1470887521,2,0
1470888122,17,0
1470888721,7,0
1470889323,4,0
1470889922,2,2
1470890522,1,4
1470891721,6,5
1470892321,9,0
1470892922,9,1
1470893522,20,0
1470894122,6,10
1470894722,5,6
1470895321,3,0
1470895921,2,2
1470896522,4,1
1470897723,5,9
1470898321,7,0
1470898921,11,13
1470899522,7,0
1470900123,8,6
1470900722,14,0
1470901321,9,2
1470902522,7,22
1470903122,10,4
1470903722,2,0
1470904322,4,3
1470904921,11,1
1470905521,3,0
1470906122,5,2
1470906722,5,0
1470907922,2,32
1470908522,3,0
1470909122,6,2
1470909722,4,4
1470910922,5,30
1470911522,5,0
1470912122,4,0
1470912721,7,6
1470913321,4,5
1470913922,5,0
1470914522,0,9
1470915122,2,2
1470915722,12,19
1470916321,4,0
1470916922,5,0
1470917522,7,12
1470918122,10,6
1470918722,6,3
1470919322,9,8
1470919922,1,0
1470920522,7,13
1470921122,1,6
1470921722,6,2
1470922321,5,2
1470922922,11,2
1470923521,2,0
1470924122,6,0
1470924721,0,2
1470925322,4,2
1470926522,11,13
1470927722,10,0
1470928322,8,2
1470928921,7,2
1470930122,5,6
1470930722,1,0
1470931321,4,3
1470931921,1,0
1470932522,11,40
1470933723,1,7
1470934921,11,0
1470936122,6,3
1470936722,12,2
1470937322,2,13
1470937922,30,4
1470939722,4,0
1470940322,3,14
1470940923,8,5
1470941522,24,4
1470942121,2,0
1470943321,1,6
1470943922,7,0
1470944522,4,6
1470945121,3,2
1470945722,1,6
1470946921,4,4
1470947521,18,5
1470948123,6,4
1470948721,3,0
1470949321,8,16
1470950521,6,0
1470951121,11,1
1470951721,7,5
1470952322,4,0
1470952921,11,1
1470953521,3,0
1470954122,4,0
1470954722,4,0
1470955322,3,3
1470955922,1,0
1470956521,6,2
1470957122,12,0
1470957722,5,11
1470958322,9,3
1470958922,11,9
1470960122,5,0
1470960721,1,11
1470961322,6,6
1470962522,3,14
1470963121,3,3
1470963723,2,0
1470964322,7,0
1470964922,7,26
1470966122,5,25
1470966722,1,0
1470967323,11,0
1470967922,7,0
1470968523,2,0
1470969122,20,1
1470969722,7,0
1470970321,5,1
1470970922,12,0
1470971522,7,2
1470972121,5,0
1470972722,9,7
1470973322,4,1
1470973922,2,0
1470974522,3,11
1470975722,0,6
1470976322,6,0
1470976921,17,3
1470978121,2,20
1470978721,11,13
1470979322,1,2
1470979922,10,7
1470980522,13,2
1470981121,4,15
1470981721,10,0
1470982922,2,4
1470983522,3,0
1470984121,2,2
1470984721,6,0
1470985322,3,17
1470987122,10,1
1470987722,2,1
1470988922,3,17
1470989521,8,0
1470990122,8,2
1470990721,5,0
1470991322,8,14
1470991922,9,1
1470992522,0,46
1470993121,1,3
1470993722,7,0
1470994322,5,1
1470994922,4,2
1470995522,3,2
1470996121,8,8
1470996721,10,0
1470997322,4,15
1470998521,25,9
1470999121,1,0
1470999722,12,44
1471000322,5,8
1471000922,4,0
1471001521,3,15
1471002121,6,0
1471002721,4,1
1471003322,3,0
1471003923,3,28
1471004522,9,2
1471005122,1,3
1471005722,6,1
1471006921,1,0
1471007523,3,0
1471008122,5,2
1471008721,3,0
1471009322,5,2
1471009922,2,1
1471010521,0,3
1471011122,3,4
1471011722,0,24
1471012921,21,0
1471013522,20,1
1471014121,7,3
1471014721,5,3
1471015321,6,0
1471015922,5,7
1471016521,2,0
1471017122,0,1
1471017722,5,1
1471018322,8,4
1471018926,1,0
1471020132,5,4
1471020721,2,4
