DateTime,Entries,UniqueIPs
1470837721,6171,6609
1470838322,6179,6618
1470838922,6181,6620
1470839522,6185,6624
1470840122,6191,6630
1470840722,6195,6635
1470841322,6199,6639
1470841921,6201,6640
1470842523,6206,6645
1470843722,6206,6645
1470844322,6211,6656
1470844922,6222,6669
1470845522,6225,6672
1470846122,6229,6681
1470846722,6222,6674
1470847322,6232,6689
1470847922,6237,6694
1470848522,6234,6691
1470849121,6245,6702
1470849721,6238,6694
1470850321,6250,6711
1470850921,6255,6716
1470851522,6261,6724
1470852121,6270,6735
1470852722,6270,6735
1470853322,6268,6735
1470853922,6271,6738
1470854522,6273,6740
1470855121,6275,6742
1470855722,6275,6742
1470856322,6274,6741
1470856922,6276,6744
1470858122,6272,6739
1470858722,6281,6749
1470859321,6283,6751
1470859922,6285,6755
1470860522,6288,6758
1470861123,6290,6760
1470861722,6289,6760
1470862322,6281,6750
1470862921,6282,6751
1470863522,6284,6753
1470864122,6282,6750
1470866523,6271,6737
1470867722,6269,6735
1470868922,6276,6746
1470869522,6280,6751
1470870123,6282,6753
1470870723,6285,6758
1470871922,6280,6757
1470872521,6305,6785
1470873122,6306,6786
1470874322,6307,6787
1470874921,6315,6795
1470875521,6317,6798
1470876121,6329,6812
1470876728,6329,6811
1470877321,6327,6809
1470877922,6329,6811
1470878522,6330,6815
1470879122,6327,6809
1470879722,6328,6810
1470880322,6329,6811
1470880922,6329,6811
1470881522,6329,6811
1470882121,6329,6811
1470882721,6334,6816
1470884522,6331,6813
1470885122,6333,6815
1470885722,6341,6823
1470886321,6347,6830
1470886922,6337,6821
1470887521,6339,6823
1470888122,6354,6840
1470888721,6361,6847
1470889323,6365,6851
1470889922,6365,6851
1470890522,6363,6848
1470891721,6360,6849
1470892321,6369,6858
1470892922,6376,6866
1470893522,6396,6886
1470894122,6392,6882
1470894722,6392,6881
1470895321,6395,6884
1470895921,6395,6884
1470896522,6396,6887
1470897723,6394,6883
1470898321,6401,6890
1470898921,6400,6888
1470899522,6406,6895
1470900123,6406,6897
1470900722,6420,6911
1470901321,6427,6918
1470902522,6413,6903
1470903122,6419,6909
1470903722,6421,6911
1470904322,6422,6912
1470904921,6430,6922
1470905521,6431,6925
1470906122,6432,6928
1470906722,6437,6933
1470907922,6415,6903
1470908522,6418,6906
1470909122,6422,6910
1470909722,6420,6910
1470910922,6405,6885
1470911522,6410,6890
1470912122,6414,6894
1470912721,6412,6895
1470913321,6415,6894
1470913922,6419,6899
1470914522,6414,6890
1470915122,6413,6890
1470915722,6407,6883
1470916321,6411,6887
1470916922,6414,6892
1470917522,6410,6887
1470918122,6415,6891
1470918722,6418,6894
1470919322,6416,6895
1470919922,6417,6896
1470920522,6412,6890
1470921122,6407,6885
1470921722,6410,6889
1470922321,6413,6892
1470922922,6420,6901
1470923521,6422,6903
1470924122,6428,6909
1470924721,6427,6907
1470925322,6430,6909
1470926522,6429,6907
1470927722,6439,6917
1470928322,6444,6923
1470928921,6447,6928
1470930122,6447,6927
1470930722,6448,6928
1470931321,6448,6929
1470931921,6448,6930
1470932522,6427,6901
1470933723,6421,6895
1470934921,6427,6906
1470936122,6430,6909
1470936722,6439,6919
1470937322,6431,6908
1470937922,6452,6934
1470939722,6456,6938
1470940322,6446,6927
1470940923,6450,6930
1470941522,6470,6950
1470942121,6472,6952
1470943321,6468,6947
1470943922,6474,6954
1470944522,6472,6952
1470945121,6472,6953
1470945722,6468,6948
1470946921,6468,6948
1470947521,6483,6961
1470948123,6485,6963
1470948721,6488,6966
1470949321,6481,6958
1470950521,6487,6964
1470951121,6496,6974
1470951721,6498,6976
1470952322,6502,6980
1470952921,6509,6990
1470953521,6512,6993
1470954122,6516,6997
1470954722,6520,7001
1470955322,6518,7001
1470955922,6519,7002
1470956521,6525,7006
1470957122,6537,7018
1470957722,6532,7012
1470958322,6535,7018
1470958922,6536,7020
1470960122,6536,7025
1470960721,6532,7015
1470961322,6530,7015
1470962522,6525,7004
1470963121,6522,7004
1470963723,6523,7006
1470964322,6528,7013
1470964922,6516,6994
1470966122,6497,6974
1470966722,6498,6975
1470967323,6507,6986
1470967922,6512,6993
1470968523,6514,6995
1470969122,6527,7014
1470969722,6531,7021
1470970321,6535,7025
1470970922,6545,7037
1470971522,6549,7042
1470972121,6554,7047
1470972722,6555,7049
1470973322,6558,7052
1470973922,6560,7054
1470974522,6557,7046
1470975722,6553,7040
1470976322,6559,7046
1470976921,6567,7060
1470978121,6552,7042
1470978721,6550,7040
1470979322,6549,7039
1470979922,6554,7042
1470980522,6565,7053
1470981121,6555,7042
1470981721,6565,7052
1470982922,6563,7050
1470983522,6566,7053
1470984121,6565,7053
1470984721,6571,7059
1470985322,6560,7045
1470987122,6567,7054
1470987722,6568,7055
1470988922,6555,7041
1470989521,6563,7049
1470990122,6570,7055
1470990721,6574,7060
1470991322,6569,7054
1470991922,6577,7062
1470992522,6539,7016
1470993121,6537,7014
1470993722,6544,7021
1470994322,6548,7025
1470994922,6550,7027
1470995522,6552,7028
1470996121,6547,7028
1470996721,6557,7038
1470997322,6552,7027
1470998521,6561,7043
1470999121,6562,7044
1470999722,6537,7012
1471000322,6533,7009
1471000922,6537,7013
1471001521,6525,7001
1471002121,6531,7007
1471002721,6532,7010
1471003322,6534,7013
1471003923,6519,6988
1471004522,6521,6995
1471005122,6520,6993
1471005722,6524,6998
1471006921,6525,6999
1471007523,6528,7002
1471008122,6532,7005
1471008721,6534,7008
1471009322,6536,7011
1471009922,6537,7012
1471010521,6534,7009
1471011122,6533,7008
1471011722,6511,6984
1471012921,6530,7005
1471013522,6548,7024
1471014121,6553,7028
1471014721,6555,7030
1471015321,6560,7036
1471015922,6558,7034
1471016521,6560,7036
1471017122,6561,7035
1471017722,6564,7039
1471018322,6568,7043
1471018926,6569,7044
1471020132,6569,7045
1471020721,6567,7043
1471021327,6563,7036
1471021921,6569,7043
1471022526,6570,7044
1471023722,6572,7046
1471024922,6572,7048
1471025522,6576,7052
1471026122,6580,7057
1471026721,6585,7064
1471027322,6589,7068
1471028521,6588,7067
1471029122,6587,7066
1471029721,6590,7069
1471030321,6595,7077
1471030922,6589,7069
1471031522,6591,7071
1471032121,6589,7068
1471032722,6600,7080
1471033322,6602,7081
1471034522,6602,7082
1471035121,6574,7050
1471035722,6573,7048
1471036322,6580,7055
1471036922,6585,7060
1471037522,6585,7060
1471038122,6590,7065
1471038722,6592,7067
1471039322,6587,7060
1471039921,6598,7071
1471040522,6602,7076
1471041122,6607,7081
1471041721,6609,7083
1471042921,6612,7086
1471043521,6610,7082
1471044122,6606,7079
1471044722,6608,7081
1471045322,6615,7088
1471046522,6596,7069
1471047122,6598,7073
1471047722,6601,7076
1471048922,6599,7068
1471050122,6598,7066
1471050721,6604,7072
1471051321,6602,7070
1471052522,6604,7073
1471053122,6630,7103
1471053722,6625,7097
1471054322,6631,7107
1471054922,6630,7106
1471055521,6635,7111
1471056122,6636,7113
1471056722,6638,7115
1471057322,6640,7117
1471057922,6641,7120
1471058522,6645,7124
1471059122,6644,7124
1471059722,6630,7106
1471060322,6631,7107
1471060922,6635,7114
1471061521,6633,7114
1471062122,6638,7121
1471062721,6645,7132
1471063321,6637,7123
1471064522,6636,7125
1471065721,6629,7117
1471066321,6634,7122
1471066921,6631,7118
1471067522,6638,7125
1471068121,6633,7121
1471068721,6629,7119
1471069322,6632,7123
1471070521,6617,7105
1471071722,6618,7100
1471072322,6632,7119
1471072922,6635,7122
1471073522,6631,7117
1471074121,6631,7117
1471074721,6636,7125
1471075322,6646,7136
1471076522,6640,7129
1471077121,6644,7134
1471078321,6638,7127
1471078921,6639,7128
1471079521,6664,7160
1471080122,6666,7162
1471080721,6675,7172
1471081322,6673,7169
1471081921,6673,7169
1471082521,6676,7173
1471083122,6665,7162
1471083721,6670,7167
1471084321,6668,7165
1471084921,6672,7173
1471085521,6673,7174
1471086122,6676,7178
1471086721,6678,7180
1471087322,6664,7161
1471087921,6659,7158
1471088523,6660,7159
1471089722,6663,7162
1471090322,6650,7144
1471090922,6670,7170
1471091521,6670,7169
1471092122,6669,7169
1471092722,6671,7171
1471093321,6672,7174
1471094522,6655,7153
1471095122,6658,7157
1471095721,6658,7157
1471096322,6659,7159
1471096922,6660,7160
1471097522,6663,7163
1471098122,6654,7154
1471098721,6656,7156
1471099321,6659,7159
1471099922,6664,7165
1471100522,6657,7159
1471101122,6680,7189
1471101722,6691,7200
1471102322,6681,7190
1471102921,6682,7191
1471103522,6686,7195
1471104121,6691,7200
1471104732,6696,7205
1471105321,6696,7205
1471105922,6690,7201
1471106522,6692,7203
1471107127,6691,7201
1471107721,6695,7205
1471108322,6705,7215
1471108922,6697,7207
1471109521,6701,7211
1471110122,6697,7205
1471110722,6700,7208
1471111321,6699,7208
1471111922,6700,7209
1471112521,6703,7212
1471113721,6704,7213
1471114322,6706,7215
1471114921,6707,7216
1471115522,6708,7215
1471116122,6702,7209
1471116721,6685,7187
1471117321,6689,7192
1471117922,6675,7179
1471118521,6677,7179
1471119122,6679,7181
1471119722,6681,7183
1471120321,6681,7186
1471120921,6682,7188
1471122122,6660,7164
1471122721,6660,7163
1471123322,6665,7168
1471123922,6674,7177
1471124522,6661,7162
1471125121,6665,7166
1471125722,6663,7164
1471126921,6660,7162
1471128122,6657,7157
1471128721,6658,7158
1471129323,6660,7161
1471130521,6665,7166
1471131721,6666,7167
1471132321,6669,7170
1471132921,6670,7172
1471133522,6672,7174
1471134122,6676,7179
1471134722,6673,7174
1471135323,6672,7173
1471135922,6673,7174
1471136522,6661,7159
1471137121,6663,7162
1471137722,6658,7155
1471138323,6667,7164
1471138923,6674,7171
1471139521,6674,7171
1471140121,6674,7172
1471140722,6681,7179
1471141322,6684,7182
1471141922,6685,7183
1471142522,6682,7182
1471143122,6683,7183
1471143722,6682,7182
1471144322,6688,7186
