DateTime,AddedIPs,RemovedIPs
1470810122,61,61
1470811322,78,78
1470811922,79,79
1470812521,80,80
1470813722,80,80
1470814921,75,75
1470815521,80,80
1470816122,80,80
1470816722,80,80
1470817322,80,80
1470817922,76,76
1470818522,79,79
1470819122,80,80
1470819722,80,80
1470820322,80,80
1470820921,80,80
1470821521,63,63
1470822121,80,80
1470822722,78,78
1470823322,80,80
1470823922,77,77
1470824521,79,79
1470825722,80,80
1470826921,80,80
1470827522,80,80
1470828121,71,71
1470828721,80,80
1470829322,80,80
1470830522,80,80
1470831722,76,76
1470832921,79,79
1470833522,77,77
1470834122,80,80
1470834721,80,80
1470835321,80,80
1470835921,71,71
1470836521,80,80
1470837122,80,80
1470837721,80,80
1470838322,80,80
1470838922,80,80
1470839522,80,80
1470840122,80,80
1470840722,80,80
1470841322,80,80
1470841921,80,80
1470842523,80,80
1470843722,80,80
1470844322,78,78
1470844922,80,80
1470845522,80,80
1470846122,80,80
1470846722,79,79
1470847322,77,77
1470847922,80,80
1470848522,80,80
1470849121,39,39
1470849721,80,80
1470850321,80,80
1470850921,69,69
1470851522,80,80
1470852121,80,80
1470852722,80,80
1470853322,80,80
1470853922,55,55
1470854522,80,80
1470855121,79,79
1470855722,75,75
1470856322,80,80
1470856922,80,80
1470858122,67,67
1470858722,80,80
1470859321,80,80
1470859922,80,80
1470860522,80,80
1470861123,77,77
1470861722,76,76
1470862322,80,80
1470862921,80,80
1470863522,80,80
1470864122,77,77
1470866523,67,67
1470867722,78,78
1470868922,80,80
1470869522,80,80
1470870123,80,80
1470870723,79,79
1470871922,80,80
1470872521,79,79
1470873122,80,80
1470874322,79,79
1470874921,80,80
1470875521,76,76
1470876121,80,80
1470876728,80,80
1470877321,80,80
1470877922,78,78
1470878522,80,80
1470879122,80,80
1470879722,80,80
1470880322,80,80
1470880922,80,80
1470881522,80,80
1470882121,76,76
1470882721,79,79
1470883321,80,80
1470884522,80,80
1470885122,80,80
1470885722,80,80
1470886321,79,79
1470886922,80,80
1470887521,78,78
1470888122,80,80
1470888721,80,80
1470889323,77,77
1470889922,78,78
1470890522,80,80
1470891122,58,58
1470891721,80,80
1470892321,80,80
1470892922,79,79
1470893522,76,76
1470894122,76,76
1470894722,80,80
1470895321,80,80
1470895921,80,80
1470896522,80,80
1470897723,76,76
1470898321,80,80
1470898921,80,80
1470899522,78,78
1470900123,80,80
1470900722,80,80
1470901321,79,79
1470902522,80,80
1470903122,80,80
1470903722,80,80
1470904322,80,80
1470904921,80,80
1470905521,80,80
1470906122,64,64
1470906722,75,75
1470907922,73,73
1470908522,80,80
1470909122,80,80
1470909722,80,80
1470910922,78,78
1470911522,80,80
1470912122,80,80
1470912721,80,80
1470913321,80,80
1470913922,80,80
1470914522,76,76
1470915122,80,80
1470915722,80,80
1470916321,48,48
1470916922,74,74
1470917522,80,80
1470918122,80,80
1470918722,80,80
1470919322,80,80
1470919922,80,80
1470920522,80,80
1470921122,80,80
1470921722,80,80
1470922321,80,80
1470922922,80,80
1470923521,80,80
1470924122,80,80
1470924721,80,80
1470925322,80,80
1470926522,80,80
1470927123,80,80
1470927722,80,80
1470928322,80,80
1470928921,80,80
1470930122,80,80
1470930722,80,80
1470931321,80,80
1470931921,78,78
1470932522,80,80
1470933723,80,80
1470934921,80,80
1470936122,80,80
1470936722,80,80
1470937322,80,80
1470937922,80,80
1470938521,80,80
1470939722,80,80
1470940322,80,80
1470940923,80,80
1470941522,80,80
1470942121,80,80
1470943321,80,80
1470943922,80,80
1470944522,80,80
1470945121,80,80
1470945722,80,80
1470946921,79,79
1470947521,80,80
1470948123,80,80
1470948721,80,80
1470949321,80,80
1470950521,80,80
1470951121,78,78
1470951721,80,80
1470952322,80,80
1470952921,80,80
1470953521,80,80
1470954122,80,80
1470954722,57,57
1470955322,80,80
1470955922,80,80
1470956521,80,80
1470957122,80,80
1470957722,80,80
1470958322,80,80
1470958922,79,79
1470960122,79,79
1470960721,80,80
1470961322,80,80
1470962522,78,78
1470963121,80,80
1470963723,80,80
1470964322,80,80
1470964922,80,80
1470966122,80,80
1470966722,79,79
1470967323,80,80
1470967922,80,80
1470968523,80,80
1470969122,80,80
1470969722,74,74
1470970321,77,77
1470970922,80,80
1470971522,80,80
1470972121,80,80
1470972722,80,80
1470973322,80,80
1470973922,80,80
1470974522,80,80
1470975722,80,80
1470976322,80,80
1470976921,80,80
1470978121,78,78
1470978721,80,80
1470979322,80,80
1470979922,80,80
1470980522,80,80
1470981121,80,80
1470981721,80,80
1470982922,79,79
1470983522,80,80
1470984121,80,80
1470984721,80,80
1470985322,80,80
1470987122,80,80
1470987722,80,80
1470988922,80,80
1470989521,80,80
1470990122,80,80
1470990721,80,80
1470991322,80,80
1470991922,80,80
1470992522,80,80
1470993121,77,77
1470993722,80,80
1470994322,80,80
1470994922,80,80
1470995522,80,80
1470996121,80,80
1470996721,80,80
1470997322,80,80
1470998521,80,80
1470999121,80,80
1470999722,80,80
1471000322,80,80
1471000922,79,79
1471001521,80,80
1471002121,80,80
1471002721,80,80
1471003322,80,80
1471003923,80,80
1471004522,80,80
1471005122,80,80
1471005722,80,80
1471006921,80,80
1471007523,79,79
1471008122,78,78
1471008721,80,80
1471009322,80,80
1471009922,53,53
1471010521,80,80
1471011122,80,80
1471011722,68,68
1471012921,74,74
1471013522,80,80
1471014121,76,76
1471014721,80,80
1471015321,68,68
1471015922,80,80
1471016521,80,80
1471017122,79,79
1471017722,80,80
1471018322,80,80
1471018926,80,80
1471020132,80,80
1471020721,80,80
1471021327,78,78
1471021921,79,79
1471022526,80,80
1471023722,79,79
1471024922,80,80
1471025522,80,80
1471026122,80,80
1471026721,80,80
1471027322,80,80
1471028521,80,80
1471029122,80,80
1471029721,80,80
1471030321,80,80
1471030922,80,80
1471031522,76,76
1471032121,80,80
1471032722,80,80
1471033322,80,80
1471034522,61,61
1471035121,80,80
1471035722,80,80
1471036322,80,80
1471036922,80,80
1471037522,22,22
1471038122,80,80
1471038722,80,80
1471039322,80,80
1471039921,80,80
1471040522,80,80
1471041122,80,80
1471041721,77,77
1471042921,77,77
1471043521,80,80
1471044122,67,67
1471044722,80,80
1471045322,80,80
1471046522,71,71
1471047122,68,68
1471047722,78,78
1471048922,73,73
1471050122,76,76
1471050721,80,80
1471051321,80,80
1471051921,80,80
1471052522,80,80
1471053122,80,80
1471053722,80,80
1471054322,80,80
1471054922,80,80
1471055521,80,80
1471056122,80,80
1471056722,43,43
1471057322,80,80
1471057922,80,80
1471058522,80,80
