DateTime,AddedIPs,RemovedIPs
1470454922,1,0
1470457922,1,2
1470458521,1,0
1470459721,0,7
1470460321,1,2
1470461522,1,0
1470462121,2,0
1470464522,6,1
1470465121,2,1
1470465721,0,2
1470468122,3,8
1470469321,3,0
1470470522,0,1
1470471722,1,0
1470472322,1,0
1470472922,0,4
1470474122,0,2
1470475321,7,0
1470476521,0,3
1470477722,0,1
1470478921,3,0
1470479522,2,6
1470480722,0,1
1470482521,2,0
1470487322,1,0
1470487921,2,0
1470488521,0,4
1470489122,6,0
1470489721,3,0
1470490322,0,5
1470494521,1,0
1470495122,2,0
1470496921,0,1
1470497522,0,5
1470498122,1,0
1470498722,1,10
1470499922,1,0
1470504122,3,1
1470504721,0,1
1470505921,0,1
1470506522,6,3
1470507721,1,0
1470510725,2,1
1470511340,0,2
1470513126,1,0
1470516121,0,1
1470516722,3,0
1470517322,2,0
1470518521,4,1
1470519722,0,3
1470523922,0,3
1470526322,2,3
1470526922,0,11
1470528721,0,1
1470529321,0,1
1470530523,9,0
1470531721,0,1
1470535322,18,0
1470535921,0,2
1470536521,3,0
1470537722,3,2
1470538321,4,0
1470541322,4,2
1470543721,1,0
1470545521,6,6
1470547321,0,3
1470548521,5,0
1470552122,1,0
1470554521,1,0
1470555121,4,0
1470559322,6,0
1470561722,0,1
1470562922,4,1
1470565922,2,2
1470566522,1,0
1470567722,0,1
1470568922,11,0
1470570121,3,2
1470571321,0,1
1470573722,0,4
1470576121,0,1
1470576722,3,0
1470577322,1,0
1470577921,0,1
1470579121,0,1
1470580921,4,0
1470582122,5,0
1470583322,1,0
1470584521,2,1
1470585721,0,1
1470586922,1,0
1470588123,4,2
1470588721,8,0
1470589321,4,0
1470593522,2,0
1470594122,7,0
1470595322,0,1
1470596521,0,1
1470597122,1,0
1470597722,2,1
1470598922,2,0
1470601922,3,1
1470603122,1,0
1470603722,1,0
1470604921,2,3
1470605522,0,1
1470607322,3,0
1470612122,4,0
1470612721,1,0
1470613322,1,0
1470613922,0,1
1470617521,1,0
1470618122,3,0
1470621721,3,0
1470622922,1,0
1470624122,1,0
1470625322,8,0
1470626522,0,3
1470627723,1,0
1470628922,5,0
1470630122,1,0
1470631922,2,0
1470632522,0,4
