DateTime,Entries,UniqueIPs
1470450122,746,751
1470451322,753,758
1470451922,754,759
1470453722,755,760
1470454922,756,761
1470456721,755,760
1470457922,756,761
1470458521,757,762
1470460321,758,763
1470461522,759,764
1470462121,761,766
1470464522,767,772
1470465121,769,774
1470468122,773,778
1470469321,776,781
1470471722,777,782
1470472322,778,783
1470475321,785,790
1470478921,788,793
1470479522,790,795
1470480722,789,794
1470482521,791,796
1470487322,792,797
1470487921,794,799
1470489122,799,805
1470489721,802,808
1470491522,801,807
1470494521,802,808
1470495122,804,810
1470498122,805,811
1470498722,806,812
1470499922,807,813
1470503521,808,814
1470504122,811,817
1470506522,817,823
1470507721,819,825
1470510725,821,827
1470513126,822,828
1470516121,821,827
1470516722,824,830
1470517322,826,832
1470518521,830,836
1470522121,830,838
1470526322,832,840
1470528122,813,821
1470530523,822,830
1470535322,839,848
1470536521,842,851
1470537722,845,854
1470538321,849,858
1470538922,850,859
1470541322,854,863
1470541921,856,866
1470543721,857,867
1470545521,863,873
1470548521,870,880
1470552122,871,881
1470554521,872,882
1470555121,876,886
1470559322,882,892
1470562922,886,896
1470565922,888,898
1470566522,889,899
1470568922,899,909
1470570121,902,912
1470576722,905,915
1470577322,906,916
1470580921,910,920
1470582122,915,925
1470583322,916,926
1470584521,918,928
1470586922,919,929
1470588123,923,933
1470588721,931,941
1470589321,935,945
1470593522,938,948
1470594122,945,955
1470597122,946,956
1470597722,948,958
1470598922,950,960
1470601922,953,963
1470603122,954,964
1470603722,955,965
1470604921,957,967
1470606121,956,966
1470607322,959,969
1470609122,958,968
1470612122,963,973
1470612721,964,974
1470613322,964,975
1470613922,946,954
1470615721,946,955
1470617521,947,956
1470618122,950,959
1470621721,953,962
1470622922,954,963
1470624122,955,964
1470625322,963,972
1470627723,964,973
1470628922,969,978
1470630122,970,979
1470631321,971,980
1470631922,973,982
1470636722,975,984
1470637321,976,985
1470639721,980,989
1470640322,981,990
1470640922,986,995
1470643321,987,996
1470644522,997,1006
1470645722,999,1008
1470648122,1003,1012
1470649322,1013,1022
1470651721,1036,1045
1470653522,1037,1046
1470655322,1046,1055
1470656521,1050,1059
1470658921,1051,1060
1470659521,1054,1063
1470661322,1061,1070
1470661921,1064,1073
1470662522,1065,1074
1470663722,1070,1079
1470664322,1073,1082
1470664921,1075,1084
1470665522,1080,1089
1470669721,1081,1090
1470673322,1083,1092
1470673921,1086,1095
1470674521,1087,1096
1470676922,1090,1099
1470677521,1094,1103
1470678721,1104,1113
1470679321,1104,1113
1470679922,1106,1115
1470682921,1113,1122
1470685321,1115,1124
1470687722,1117,1126
1470688922,1118,1127
1470690121,1121,1130
1470691321,1122,1131
1470693122,1123,1132
1470694322,1124,1133
1470695522,1125,1134
1470696722,1126,1135
1470697321,1128,1137
1470698522,1129,1138
1470699121,1130,1139
1470700322,1104,1113
1470704523,1107,1116
1470705721,1110,1119
1470706922,1111,1120
1470708122,1112,1121
1470709322,1115,1124
1470710522,1117,1126
1470712322,1121,1130
1470712922,1122,1131
1470713521,1127,1136
1470714721,1129,1138
1470715921,1130,1139
1470717722,1133,1142
1470718321,1135,1144
1470721322,1141,1150
1470724922,1147,1156
1470726122,1148,1157
1470727922,1149,1158
1470729721,1155,1164
1470730921,1156,1165
1470732722,1159,1168
1470733322,1162,1171
1470736922,1164,1173
1470738122,1166,1175
1470739322,1167,1176
1470741122,1174,1183
1470741721,1175,1184
1470742322,1179,1188
1470742922,1180,1189
1470745322,1182,1191
1470745922,1186,1195
1470747122,1187,1196
1470748321,1190,1200
1470750122,1193,1203
1470751321,1196,1206
1470753722,1197,1207
1470754922,1198,1208
1470759722,1200,1210
1470760922,1201,1211
