DateTime,AddedIPs,RemovedIPs
1470658921,1,1
1470659521,4,4
1470661322,11,11
1470661921,8,8
1470662522,1,1
1470663722,7,7
1470664322,5,5
1470664921,5,5
1470665522,6,6
1470667322,1,1
1470667922,5,5
1470668521,5,5
1470669721,4,4
1470670322,1,1
1470672722,3,3
1470673322,2,2
1470673921,7,7
1470674521,3,3
1470675122,1,1
1470676922,6,6
1470677521,9,9
1470678121,3,3
1470678721,10,10
1470679321,1,1
1470679922,7,7
1470680522,3,3
1470681723,2,2
1470682321,4,4
1470682921,9,9
1470685321,7,7
1470685927,1,1
1470686522,1,1
1470687722,5,5
1470688922,4,4
1470690121,6,6
1470690721,2,2
1470691321,3,3
1470692521,7,7
1470693122,2,2
1470694322,2,2
1470694922,3,3
1470695522,2,2
1470696722,2,2
1470697321,5,5
1470698522,4,4
1470699121,2,2
1470699722,1,1
1470700322,4,4
1470700923,4,4
1470702121,2,2
1470702721,1,1
1470703323,2,2
1470704523,8,8
1470705721,6,6
1470706922,1,1
1470708122,4,4
1470709322,5,5
1470710522,7,7
1470711121,2,2
1470712322,4,4
1470712922,3,3
1470713521,5,5
1470714721,3,3
1470715322,1,1
1470715921,6,6
1470716522,4,4
1470717722,5,5
1470718321,2,2
1470719521,2,2
1470721322,13,13
1470721922,1,1
1470723122,1,1
1470723722,1,1
1470724922,6,6
1470725522,1,1
1470726122,1,1
1470726721,1,1
1470727321,1,1
1470727922,2,2
1470728522,2,2
1470729721,8,8
1470730921,4,4
1470731522,2,2
1470732722,3,3
1470733322,3,3
1470734522,1,1
1470735722,1,1
1470736922,4,4
1470738122,4,4
1470739322,2,2
1470740521,2,2
1470741122,9,9
1470741721,2,2
1470742322,4,4
1470742922,1,1
1470745322,3,3
1470745922,5,5
1470747122,4,4
1470747722,2,2
1470748321,4,4
1470748921,2,2
1470750122,4,4
1470751321,5,5
1470752522,1,1
1470753122,2,2
1470753722,2,2
1470754922,6,6
1470756122,7,7
1470756721,1,1
1470757321,1,1
1470757921,2,2
1470759722,3,3
1470760922,1,1
1470762722,1,1
1470763922,1,1
1470764522,1,1
1470766322,5,5
1470768123,3,3
1470769322,2,2
1470769922,2,2
1470771721,2,2
1470772322,2,2
1470772922,1,1
1470773521,1,1
1470774122,3,3
1470774726,1,1
1470775321,1,1
1470775921,5,5
1470776521,1,1
1470777122,1,1
1470777721,2,2
1470778922,3,3
1470781322,2,2
1470783721,3,3
1470784922,2,2
1470785522,2,2
1470787322,1,1
1470791522,1,1
1470792121,5,5
1470792722,1,1
1470793321,1,1
1470794521,2,2
1470795721,1,1
1470796922,2,2
1470797521,1,1
1470798122,2,2
1470800521,2,2
1470802321,1,1
1470802921,2,2
1470804122,1,1
1470805322,1,1
1470805921,2,2
1470806521,2,2
1470807721,1,1
1470808322,1,1
1470809522,4,4
1470810122,1,1
1470811322,2,2
1470814921,1,1
1470815521,3,3
1470816122,2,2
1470817922,2,2
1470819122,2,2
1470819722,1,1
1470820921,2,2
1470823322,2,2
1470824521,2,2
1470825722,3,3
1470826322,3,3
1470826921,1,1
1470827522,2,2
1470829322,1,1
1470830522,2,2
1470831722,6,6
1470832921,3,3
1470835321,2,2
1470835921,3,3
1470836521,1,1
1470838322,1,1
1470838922,4,4
1470839522,3,3
1470840122,6,6
1470840722,5,5
1470841322,2,2
1470841921,1,1
1470842523,2,2
1470843122,3,3
1470844922,8,8
1470846122,1,1
1470846722,6,6
1470847922,1,1
1470848522,3,3
1470849121,3,3
1470849721,2,2
1470850921,1,1
1470853322,3,3
1470853922,4,4
1470854522,1,1
