DateTime,AddedIPs,RemovedIPs
1469350802,122,119
1469354402,115,147
1469358002,115,149
1469361602,118,119
1469365201,103,164
1469368801,201,164
1469372401,233,165
1469376002,166,130
1469379601,128,247
1469383202,143,120
1469386801,107,113
1469390401,116,120
1469394002,89,102
1469397602,106,115
1469401201,116,106
1469404803,110,128
1469408401,118,102
1469412001,128,108
1469415602,126,151
1469419201,129,79
1469422802,163,95
1469426402,142,88
1469430001,164,122
1469433601,209,96
1469437201,246,140
1469440802,158,112
1469444401,143,114
1469448002,167,109
1469451601,176,116
1469455201,190,207
1469458801,211,232
1469462402,250,144
1469466002,178,145
1469469601,108,122
1469473202,140,110
1469476802,171,101
1469480401,148,85
1469484001,151,103
1469487601,136,108
1469491202,122,121
1469494802,116,83
1469498401,104,130
1469502001,133,114
1469505602,102,119
1469509202,128,137
1469512801,150,143
1469516402,256,125
1469520002,159,180
1469523602,164,243
1469527201,166,162
1469530801,170,135
1469534401,170,148
1469538002,138,190
1469541602,147,165
1469545202,188,197
1469548802,135,255
1469552402,138,186
1469556001,137,122
1469559602,127,138
1469563202,134,169
1469566802,128,174
1469570402,122,155
1469574002,368,135
1469577602,102,146
1469581202,128,95
1469584801,117,117
1469588402,143,113
1469592002,119,122
1469595602,127,122
1469599202,135,129
1469602802,176,217
1469606402,133,203
1469610002,138,157
1469613601,168,170
1469617202,143,157
1469620802,208,171
1469624402,160,149
1469628002,140,124
1469631602,120,232
1469635201,148,139
1469638802,140,149
1469642402,143,134
1469646002,148,124
1469649602,130,127
1469653201,131,119
1469656802,129,125
1469660402,125,374
1469664002,150,135
1469667602,140,88
1469671202,118,123
1469674802,189,132
1469678402,123,93
1469682002,122,131
1469685601,107,129
1469689202,185,154
1469692802,135,95
1469696401,197,134
1469700001,145,153
1469703602,143,150
1469707202,159,139
1469710801,148,200
1469714401,139,143
1469718002,328,140
1469721602,109,158
1469725201,122,138
1469728802,117,136
1469732401,224,156
1469736002,113,130
1469739602,114,170
1469743201,132,122
1469746802,173,125
1469750402,179,193
1469754002,108,122
1469757601,108,131
1469761202,118,184
1469764801,122,146
1469768401,117,115
1469772002,126,103
1469775602,175,170
1469779202,156,136
1469782801,131,191
1469786401,155,137
1469790002,158,155
1469793601,151,149
1469797202,110,160
1469800802,176,146
1469804401,258,307
1469808001,131,159
1469811602,112,127
1469815201,133,127
1469818802,125,233
1469822401,98,129
1469826002,141,126
1469829602,102,126
1469833201,106,204
1469836801,115,202
1469840402,106,97
1469844001,96,101
1469847601,101,128
1469851201,119,111
1469854802,112,113
1469858401,108,139
1469862002,120,142
1469865601,113,157
1469869202,120,129
1469872801,121,126
1469876402,128,169
1469880001,124,172
1469883602,160,124
1469887201,148,154
1469890802,190,286
1469894402,124,139
1469898002,113,138
1469901601,119,116
1469905202,110,148
1469908801,136,102
1469912402,171,141
1469916001,144,97
1469919602,128,98
1469923202,106,124
1469926801,102,105
1469930401,125,107
1469934002,86,110
1469937601,90,132
1469941201,113,125
1469944802,144,103
1469948401,142,116
1469952002,105,96
1469955601,117,128
1469959201,109,130
1469962802,109,108
1469966401,103,138
1469970002,98,132
1469973602,106,170
1469977201,141,213
1469980801,126,131
1469984401,108,128
1469988001,115,131
1469991602,125,139
1469995201,139,113
1469998801,109,202
1470002402,144,151
1470006002,153,126
1470009602,108,142
1470013201,148,90
1470016801,112,126
1470020401,145,82
1470024002,111,97
1470027601,133,115
1470031202,169,133
1470034801,185,162
1470038401,161,117
1470042001,194,125
1470045601,216,120
1470049201,207,118
1470052802,178,87
1470056402,164,108
1470060001,159,103
1470063601,351,133
1470067201,212,142
1470070802,128,111
1470074402,162,104
1470078001,114,116
1470081602,124,132
1470085202,117,123
1470088802,160,139
1470092401,130,137
1470096002,96,116
1470099601,131,118
1470103202,133,105
1470106802,117,140
1470110402,115,103
1470114002,129,110
1470117601,146,138
1470121201,142,191
1470124802,159,135
1470128401,164,147
1470132001,166,183
1470135602,141,195
1470139202,139,168
1470142802,154,166
1470146402,109,178
1470150001,150,277
1470153601,226,298
1470157201,142,132
1470160801,109,143
1470164401,124,133
1470168001,121,126
1470171601,97,112
1470175201,142,156
1470178802,114,150
1470182402,135,127
1470186001,114,112
1470189602,110,113
1470193201,115,111
1470196801,117,113
1470200401,128,123
1470204001,182,137
1470207601,145,130
1470211201,149,134
1470214801,172,155
1470218401,165,139
1470222002,138,171
1470225601,153,132
1470229201,160,162
1470232802,197,114
1470236402,218,141
1470240002,177,205
1470243601,157,191
1470247201,135,116
1470250801,125,136
1470254402,120,132
1470258002,134,106
1470261601,125,135
1470265202,109,126
1470268801,96,164
1470272401,114,107
1470276001,109,107
1470279602,115,114
1470283201,104,133
1470286802,125,135
1470290401,114,178
1470294001,156,134
1470297601,206,124
1470301201,155,151
1470304801,134,149
1470308401,139,163
1470312001,141,165
1470315601,152,160
1470319201,140,164
1470322801,135,254
1470326402,198,180
1470330001,193,155
1470333601,208,133
1470337201,121,125
1470340801,102,138
1470344401,109,133
1470348001,128,124
1470351601,95,107
1470355202,107,134
1470358801,134,92
1470362401,120,117
1470366001,109,109
1470369602,121,99
1470373202,110,127
1470376801,133,125
1470380402,166,137
1470384001,147,185
1470387602,132,155
1470391201,146,152
1470394802,137,116
1470398402,144,161
1470402002,139,149
1470405601,120,148
1470409201,234,160
1470412801,163,187
1470416402,151,200
1470420002,126,225
1470423601,140,121
1470427202,119,125
1470430801,121,121
1470434402,105,131
1470438001,158,97
1470441601,102,137
1470445202,117,111
1470448802,123,118
1470452401,126,118
1470456001,105,89
1470459601,149,105
1470463201,134,119
1470466802,147,147
1470470401,220,163
1470474002,184,118
1470477601,164,129
1470481202,165,138
1470484801,171,136
1470488402,146,135
1470492002,164,122
1470495601,209,216
1470499201,144,190
1470502801,122,140
1470506401,153,134
1470510001,144,133
1470513601,128,133
1470517201,126,121
1470520801,123,88
1470524402,218,152
1470528002,134,113
1470531601,134,104
1470535201,116,122
1470538801,94,133
1470542402,118,99
1470546002,129,127
1470549601,65,131
1470553201,105,120
1470556801,103,194
1470560401,149,197
1470564002,112,159
1470567601,104,153
1470571202,108,161
1470574802,106,146
1470578402,214,140
1470582002,223,250
1470585601,111,143
1470589202,127,134
1470592802,115,143
1470596402,127,152
1470600001,112,139
1470603602,128,142
1470607201,126,116
1470610801,105,195
1470614402,112,186
1470618002,107,112
1470621601,112,117
1470625201,169,108
1470628801,155,114
1470632401,135,129
1470636001,161,73
1470639601,169,105
1470643201,173,110
1470646802,156,116
1470650401,160,133
1470654001,137,116
1470657602,132,99
1470661201,202,94
1470664801,180,202
1470668401,150,237
1470672001,123,132
1470675601,134,133
1470679202,127,104
1470682801,204,137
1470686401,155,114
1470690002,211,142
1470693601,186,121
1470697201,115,105
1470700801,134,144
1470704401,150,104
1470708001,122,108
1470711601,120,157
1470715201,103,140
1470718801,158,134
1470722401,119,146
1470726002,144,145
1470729602,188,147
1470733201,123,136
1470736802,152,147
1470740401,107,138
1470744001,150,118
1470747602,129,188
1470751202,168,189
1470754802,143,187
1470758401,128,146
1470762001,122,161
1470765601,111,129
1470769201,134,192
1470772801,165,207
1470776402,111,172
1470780002,103,249
1470783601,97,144
1470787202,104,151
1470790801,98,124
1470794402,142,147
1470798001,98,132
1470801602,117,113
1470805202,162,123
1470808801,146,148
1470812401,176,129
1470816001,179,160
1470819601,379,156
1470823201,130,130
1470826801,153,112
1470830402,140,134
1470834001,143,132
1470837601,162,155
1470841201,156,184
1470844802,111,136
1470848402,135,144
1470852001,124,119
1470855601,138,151
1470859202,101,137
1470862801,109,150
1470866401,111,100
1470870001,87,109
1470873602,126,115
1470877202,101,78
1470880801,116,147
1470884401,107,100
1470888001,120,103
1470891602,113,155
1470895201,136,127
1470898802,134,165
1470902401,143,166
1470906002,151,359
1470909602,171,129
1470913201,137,143
1470916801,142,143
1470920401,131,143
1470924001,123,147
1470927601,132,153
1470931202,115,106
1470934801,137,132
1470938401,146,119
1470942001,104,168
1470945602,118,90
1470949201,132,95
1470952801,106,111
1470956402,123,91
1470960002,90,151
1470963602,102,87
1470967202,106,123
1470970802,162,121
1470974402,165,119
1470978001,156,108
1470981602,122,112
1470985202,116,138
1470988801,114,113
1470992401,115,134
1470996002,118,134
1470999601,163,148
1471003201,161,157
1471006802,141,144
1471010402,105,135
1471014001,102,130
1471017601,101,126
1471021202,116,117
1471024802,111,157
1471028401,123,119
1471032001,118,133
1471035602,118,170
1471039201,98,122
1471042801,92,122
1471046402,111,118
1471050001,142,97
1471053602,96,123
1471057202,108,134
1471060802,115,200
1471064402,97,169
1471068001,112,131
1471071602,113,97
1471075202,121,107
1471078801,129,122
1471082402,111,121
1471086002,135,137
1471089602,146,180
1471093202,106,151
1471096802,138,129
1471100401,89,101
1471104002,260,106
1471107602,187,112
1471111202,107,109
1471114801,106,141
1471118401,272,133
1471122002,113,104
1471125601,120,119
1471129202,110,84
1471132802,116,122
1471136402,92,107
1471140002,87,88
1471143601,95,108
1471147202,100,104
