DateTime,Entries,UniqueIPs
1469372401,4054,4054
1469376002,4090,4090
1469379601,3971,3971
1469383202,3994,3994
1469386801,3988,3988
1469390401,3984,3984
1469394002,3971,3971
1469397602,3962,3962
1469401201,3972,3972
1469404803,3954,3954
1469408401,3970,3970
1469412001,3990,3990
1469415602,3965,3965
1469419201,4015,4015
1469422802,4083,4083
1469426402,4137,4137
1469430001,4179,4179
1469433601,4292,4292
1469437201,4398,4398
1469440802,4444,4444
1469444401,4473,4473
1469448002,4531,4531
1469451601,4591,4591
1469455201,4574,4574
1469458801,4553,4553
1469462402,4659,4659
1469466002,4692,4692
1469469601,4678,4678
1469473202,4708,4708
1469476802,4778,4778
1469480401,4841,4841
1469484001,4889,4889
1469487601,4917,4917
1469491202,4918,4918
1469494802,4951,4951
1469498401,4925,4925
1469502001,4944,4944
1469505602,4927,4927
1469509202,4918,4918
1469512801,4925,4925
1469516402,5056,5056
1469520002,5035,5035
1469523602,4956,4956
1469527201,4960,4960
1469530801,4995,4995
1469534401,5017,5017
1469538002,4965,4965
1469541602,4947,4947
1469545202,4938,4938
1469548802,4818,4818
1469552402,4770,4770
1469556001,4785,4785
1469559602,4774,4774
1469563202,4739,4739
1469566802,4693,4693
1469570402,4660,4660
1469574002,4893,4893
1469577602,4849,4849
1469581202,4882,4882
1469584801,4882,4882
1469588402,4912,4912
1469592002,4909,4909
1469595602,4914,4914
1469599202,4920,4920
1469602802,4879,4879
1469606402,4809,4809
1469610002,4790,4790
1469613601,4788,4788
1469617202,4774,4774
1469620802,4811,4811
1469624402,4822,4822
1469628002,4838,4838
1469631602,4726,4726
1469635201,4735,4735
1469638802,4726,4726
1469642402,4735,4735
1469646002,4759,4759
1469649602,4762,4762
1469653201,4774,4774
1469656802,4778,4778
1469660402,4529,4529
1469664002,4544,4544
1469667602,4596,4596
1469671202,4591,4591
1469674802,4648,4648
1469678402,4678,4678
1469682002,4669,4669
1469685601,4647,4647
1469689202,4678,4678
1469692802,4718,4718
1469696401,4781,4781
1469700001,4773,4773
1469703602,4766,4766
1469707202,4786,4786
1469710801,4734,4734
1469714401,4730,4730
1469718002,4918,4918
1469721602,4869,4869
1469725201,4853,4853
1469728802,4834,4834
1469732401,4902,4902
1469736002,4885,4885
1469739602,4829,4829
1469743201,4839,4839
1469746802,4887,4887
1469750402,4873,4873
1469754002,4859,4859
1469757601,4836,4836
1469761202,4770,4770
1469764801,4746,4746
1469768401,4748,4748
1469772002,4771,4771
1469775602,4776,4776
1469779202,4796,4796
1469782801,4736,4736
1469786401,4754,4754
1469790002,4757,4757
1469793601,4759,4759
1469797202,4709,4709
1469800802,4739,4739
1469804401,4690,4690
1469808001,4662,4662
1469811602,4647,4647
1469815201,4653,4653
1469818802,4545,4545
1469822401,4514,4514
1469826002,4529,4529
1469829602,4505,4505
1469833201,4407,4407
1469836801,4320,4320
1469840402,4329,4329
1469844001,4324,4324
1469847601,4297,4297
1469851201,4305,4305
1469854802,4304,4304
1469858401,4273,4273
1469862002,4251,4251
1469865601,4207,4207
1469869202,4198,4198
1469872801,4193,4193
1469876402,4152,4152
1469880001,4104,4104
1469883602,4140,4140
1469887201,4134,4134
1469890802,4038,4038
1469894402,4023,4023
1469898002,3998,3998
1469901601,4001,4001
1469905202,3963,3963
1469908801,3997,3997
1469912402,4027,4027
1469916001,4074,4074
1469919602,4104,4104
1469923202,4086,4086
1469926801,4083,4083
1469930401,4101,4101
1469934002,4077,4077
1469937601,4035,4035
1469941201,4023,4023
1469944802,4064,4064
1469948401,4090,4090
1469952002,4099,4099
1469955601,4088,4088
1469959201,4067,4067
1469962802,4068,4068
1469966401,4033,4033
1469970002,3999,3999
1469973602,3935,3935
1469977201,3863,3863
1469980801,3858,3858
1469984401,3838,3838
1469988001,3822,3822
1469991602,3808,3808
1469995201,3834,3834
1469998801,3741,3741
1470002402,3734,3734
1470006002,3761,3761
1470009602,3727,3727
1470013201,3785,3785
1470016801,3771,3771
1470020401,3834,3834
1470024002,3848,3848
1470027601,3866,3866
