DateTime,AddedIPs,RemovedIPs
1470382800,28,197
1470383400,831,0
1470385200,5,7
1470386400,54,234
1470387000,831,0
1470390000,12,113
1470390600,764,0
1470392400,3,4
1470393600,18,162
1470394200,594,0
1470397200,77,139
1470397800,451,0
1470399600,4,7
1470400800,34,133
1470401400,468,0
1470402600,1,0
1470404400,4,141
1470405000,173,0
1470406800,7,7
1470408000,1,210
1470408600,161,0
1470411600,2,167
1470412200,140,0
1470414000,6,3
1470415200,23,156
1470415800,134,0
1470418800,0,116
1470419400,140,0
1470421200,3,6
1470422400,2,112
1470423000,138,0
1470426000,1,79
1470426600,128,0
1470428400,5,2
1470429600,0,108
1470430200,126,0
1470433200,7,103
1470433800,104,0
1470435600,5,4
1470436800,1,110
1470437400,103,0
1470440400,0,111
1470441000,109,0
1470442800,4,4
1470444000,1,100
1470444600,103,0
1470447600,2,106
1470448200,123,0
1470450000,7,12
1470451200,0,99
1470451800,122,0
1470454800,0,106
1470455400,111,0
1470457200,3,3
1470458400,0,128
1470459000,99,0
1470462000,12,111
1470462600,57,0
1470464400,7,4
1470465600,3,121
1470466200,68,0
1470469200,0,102
1470469800,49,0
1470471000,0,1
1470471600,10,3
1470472800,0,110
1470473400,22,0
1470475200,0,2
1470476400,3,114
1470477000,33,0
1470478800,8,8
1470480000,2,136
1470480600,35,0
1470481800,0,2
1470483600,3,125
1470484200,36,0
1470486000,7,3
1470487200,4,119
1470487800,30,0
1470490800,11,97
1470491400,18,0
1470493200,3,5
1470494400,2,97
1470495000,27,0
1470498000,12,83
1470498600,23,0
1470500400,2,10
1470501600,29,65
1470505200,30,73
1470507600,4,4
1470508800,32,93
1470509400,3,0
1470512400,11,516
1470513000,11,0
1470514800,4,4
1470516000,24,315
1470519600,22,241
1470522000,3,3
1470523200,35,238
1470526800,23,258
1470529200,4,9
1470530400,25,325
1470534000,40,337
1470536400,3,13
1470537600,26,479
1470541200,23,560
1470544200,6,7
1470544800,29,735
1470548400,39,825
1470550800,8,5
1470552000,24,851
1470555600,4,900
1470556200,32,0
1470558000,2,4
1470559200,27,785
1470561600,0,1
1470562800,23,614
1470565200,6,4
1470566400,21,543
1470570000,30,533
1470572400,4,5
1470573600,27,196
1470577200,22,205
1470579600,4,10
1470580800,29,160
1470584400,34,176
1470585000,0,1
1470586800,5,4
1470588000,20,146
1470591600,28,149
1470594000,5,14
1470595200,25,158
1470598800,19,156
1470601200,11,6
1470602400,30,125
1470606000,34,106
1470608400,4,6
1470609600,36,114
1470613200,31,118
1470615600,3,2
1470616800,30,127
1470621000,38,120
1470622800,4,9
1470624000,88,95
1470627600,147,89
1470630000,5,6
1470631800,147,61
1470633600,1,0
1470634800,117,63
1470637200,5,9
1470638400,91,45
1470642000,25,14
1470642600,56,0
1470644400,3,6
1470645600,102,24
1470648000,1,1
1470649200,60,34
1470649800,27,0
1470651600,7,5
1470652800,122,26
