DateTime,Entries,UniqueIPs
1470375600,11100,11100
1470376200,11657,11657
1470378000,11660,11660
1470379200,11515,11515
1470379800,12257,12257
1470382800,12088,12088
1470383400,12919,12919
1470385200,12917,12917
1470386400,12737,12737
1470387000,13568,13568
1470390000,13467,13467
1470390600,14231,14231
1470392400,14230,14230
1470393600,14086,14086
1470394200,14680,14680
1470397200,14618,14618
1470397800,15069,15069
1470399600,15066,15066
1470400800,14967,14967
1470401400,15435,15435
1470402600,15436,15436
1470404400,15299,15299
1470405000,15472,15472
1470406800,15472,15472
1470408000,15263,15263
1470408600,15424,15424
1470411600,15259,15259
1470412200,15399,15399
1470414000,15402,15402
1470415200,15269,15269
1470415800,15403,15403
1470418800,15287,15287
1470419400,15427,15427
1470421200,15424,15424
1470422400,15314,15314
1470423000,15452,15452
1470426000,15374,15374
1470426600,15502,15502
1470428400,15505,15505
1470429600,15397,15397
1470430200,15523,15523
1470433200,15427,15427
1470433800,15531,15531
1470435600,15532,15532
1470436800,15423,15423
1470437400,15526,15526
1470440400,15415,15415
1470441000,15524,15524
1470442800,15524,15524
1470444000,15425,15425
1470444600,15528,15528
1470447600,15424,15424
1470448200,15547,15547
1470450000,15542,15542
1470451200,15443,15443
1470451800,15565,15565
1470454800,15459,15459
1470455400,15570,15570
1470457200,15570,15570
1470458400,15442,15442
1470459000,15541,15541
1470462000,15442,15442
1470462600,15499,15499
1470464400,15502,15502
1470465600,15384,15384
1470466200,15452,15452
1470469200,15350,15350
1470469800,15399,15399
1470471000,15398,15398
1470471600,15405,15405
1470472800,15295,15295
1470473400,15317,15317
1470475200,15315,15315
1470476400,15204,15204
1470477000,15237,15237
1470478800,15237,15237
1470480000,15103,15103
1470480600,15138,15138
1470481800,15136,15136
1470483600,15014,15014
1470484200,15050,15050
1470486000,15054,15054
1470487200,14939,14939
1470487800,14969,14969
1470490800,14883,14883
1470491400,14901,14901
1470493200,14899,14899
1470494400,14804,14804
1470495000,14831,14831
1470498000,14760,14760
1470498600,14783,14783
1470500400,14775,14775
1470501600,14739,14739
1470505200,14696,14696
1470507600,14696,14696
1470508800,14635,14635
1470509400,14638,14638
1470512400,14133,14133
1470513000,14144,14144
1470514800,14144,14144
1470516000,13853,13853
1470519600,13634,13634
1470522000,13634,13634
1470523200,13431,13431
1470526800,13196,13196
1470529200,13191,13191
1470530400,12891,12891
1470534000,12594,12594
1470536400,12584,12584
1470537600,12131,12131
1470541200,11594,11594
1470544200,11593,11593
1470544800,10887,10887
1470548400,10101,10101
1470550800,10104,10104
1470552000,9277,9277
1470555600,8381,8381
1470556200,8413,8413
1470558000,8411,8411
1470559200,7653,7653
1470561600,7652,7652
1470562800,7061,7061
1470565200,7063,7063
1470566400,6541,6541
1470570000,6038,6038
1470572400,6037,6037
1470573600,5868,5868
1470577200,5685,5685
1470579600,5679,5679
1470580800,5548,5548
1470584400,5406,5406
1470585000,5405,5405
1470586800,5406,5406
1470588000,5280,5280
1470591600,5159,5159
1470594000,5150,5150
1470595200,5017,5017
1470598800,4880,4880
1470601200,4885,4885
1470602400,4790,4790
1470606000,4718,4718
1470608400,4716,4716
1470609600,4638,4638
1470613200,4551,4551
1470615600,4552,4552
1470616800,4455,4455
1470621000,4373,4373
1470622800,4368,4368
1470624000,4361,4361
1470627600,4419,4419
1470630000,4418,4418
1470631800,4504,4504
1470633600,4505,4505
1470634800,4559,4559
1470637200,4555,4555
1470638400,4601,4601
1470642000,4612,4612
1470642600,4668,4668
1470644400,4665,4665
1470645600,4743,4743
1470648000,4743,4743
1470649200,4769,4769
1470649800,4796,4796
1470651600,4798,4798
1470652800,4894,4894
1470656400,4976,4976
1470657000,4991,4991
1470658800,4988,4988
1470660000,5065,5065
1470660600,5085,5085
1470663600,5181,5181
1470664200,5191,5191
1470666000,5195,5195
1470667200,5226,5226
1470667800,5294,5294
1470670800,5367,5367
1470672000,5381,5381
1470673200,5384,5384
1470674400,5458,5458
1470675000,5467,5467
1470678000,5538,5538
1470680400,5539,5539
1470681600,5600,5600
1470682201,5617,5617
1470685200,5675,5675
1470685800,5691,5691
1470687600,5695,5695
1470688800,5764,5764
1470692400,5784,5784
1470693000,5818,5818
1470694800,5822,5822
1470696000,5858,5858
1470696600,5885,5885
1470699600,5918,5918
1470700200,5945,5945
1470702000,5944,5944
1470703200,5957,5957
1470703800,6012,6012
1470706800,6039,6039
1470707400,6081,6081
1470709200,6082,6082
1470710400,6110,6110
1470711000,6150,6150
1470714000,6166,6166
1470714600,6207,6207
1470716400,6203,6203
1470717600,6191,6191
1470718200,6225,6225
1470721200,6240,6240
1470721800,6279,6279
1470723600,6282,6282
1470724800,6283,6283
1470725400,6321,6321
1470728400,6345,6345
1470729000,6386,6386
1470730800,6389,6389
1470732000,6424,6424
1470732600,6437,6437
1470735600,6455,6455
1470736200,6495,6495
1470738000,6491,6491
1470739200,6537,6537
1470742800,6547,6547
1470743400,6583,6583
1470745200,6585,6585
1470746400,6612,6612
1470747000,6633,6633
1470750000,6662,6662
1470750600,6674,6674
1470752400,6674,6674
1470753600,6668,6668
1470754200,6705,6705
1470757200,6718,6718
1470757800,6746,6746
1470759600,6744,6744
1470760800,6755,6755
1470761400,6760,6760
1470764400,6765,6765
1470765000,6802,6802
1470766800,6805,6805
1470768000,6888,6888
1470768600,6932,6932
1470771600,6915,6915
1470772200,6974,6974
1470774000,6980,6980
1470775200,6971,6971
1470778800,6956,6956
1470781200,6956,6956
1470782400,6944,6944
1470783000,6947,6947
1470786000,6943,6943
1470786600,6966,6966
1470788400,6963,6963
1470789600,6937,6937
1470790200,6959,6959
1470793200,6905,6905
1470795600,6906,6906
1470796800,6806,6806
1470800400,6763,6763
1470801000,6772,6772
1470802200,6774,6774
1470802800,6774,6774
1470804000,6731,6731
1470804600,6755,6755
1470807600,6714,6714
1470808200,6721,6721
1470810000,6727,6727
1470811200,6717,6717
1470811800,6720,6720
1470814800,6688,6688
1470815400,6702,6702
1470817200,6701,6701
1470818400,6696,6696
1470819000,6705,6705
1470822000,6653,6653
1470822600,6679,6679
1470824400,6680,6680
1470825600,6621,6621
1470826200,6642,6642
1470829200,6605,6605
1470831600,6613,6613
1470832800,6560,6560
1470833400,6577,6577
1470836400,6518,6518
1470837000,6538,6538
1470838800,6541,6541
1470840000,6507,6507
1470840600,6522,6522
1470841800,6523,6523
1470843600,6490,6490
1470844200,6502,6502
1470846000,6501,6501
1470847200,6491,6491
1470847800,6501,6501
1470850800,6513,6513
1470851400,6523,6523
1470853200,6526,6526
1470854400,6516,6516
1470855000,6521,6521
1470856800,6520,6520
1470858000,6505,6505
1470858600,6510,6510
1470860400,6508,6508
1470861600,6495,6495
1470862200,6505,6505
1470865200,6496,6496
1470867600,6499,6499
1470868800,6467,6467
1470869400,6496,6496
1470872400,6448,6448
1470873000,6471,6471
1470875401,6466,6466
1470876000,6414,6414
1470876600,6455,6455
1470879600,6445,6445
1470882000,6450,6450
1470883200,6428,6428
1470883800,6441,6441
1470886800,6423,6423
1470887400,6458,6458
1470889200,6457,6457
1470890400,6427,6427
1470891000,6467,6467
1470894000,6437,6437
1470894600,6468,6468
1470896400,6467,6467
1470897600,6425,6425
1470898200,6444,6444
1470901200,6386,6386
1470901800,6456,6456
1470903600,6461,6461
1470904800,6417,6417
1470905400,6438,6438
1470908400,6408,6408
1470909000,6423,6423
1470910800,6416,6416
1470912000,6409,6409
1470912600,6440,6440
1470915600,6458,6458
1470916200,6484,6484
1470918000,6487,6487
1470919200,6498,6498
1470919800,6529,6529
1470922800,6514,6514
1470923400,6555,6555
1470925200,6554,6554
1470926400,6532,6532
1470927000,6593,6593
1470930000,6627,6627
1470930600,6651,6651
1470932400,6649,6649
1470933600,6666,6666
1470934200,6677,6677
1470937200,6566,6566
1470937800,6571,6571
1470939600,6567,6567
1470940800,6521,6521
1470944400,6495,6495
1470945000,6505,6505
1470946800,6507,6507
1470948000,6503,6503
1470951602,6491,6491
1470954000,6488,6488
1470955200,6452,6452
1470958800,6433,6433
1470961200,6430,6430
1470962400,6408,6408
1470963001,6420,6420
1470966000,6381,6381
1470966601,6394,6394
1470968401,6396,6396
1470969600,6314,6314
1470970200,6327,6327
1470973200,6322,6322
1470973800,6321,6321
1470975601,6315,6315
1470976800,6298,6298
1470977400,6352,6352
1470980400,6295,6295
1470981600,6371,6371
1470982800,6376,6376
1470984001,6293,6293
1470984600,6392,6392
1470987600,6308,6308
1470988201,6407,6407
1470990001,6403,6403
1470991202,6316,6316
1470991801,6416,6416
1470994801,6333,6333
1470995401,6440,6440
1470997201,6444,6444
1470998401,6387,6387
1470999001,6467,6467
1471002001,6372,6372
1471002600,6457,6457
1471004401,6454,6454
1471005600,6379,6379
1471006200,6484,6484
1471009201,6407,6407
1471009800,6531,6531
1471011601,6538,6538
1471012800,6461,6461
1471013402,6566,6566
1471015201,6567,6567
1471016401,6513,6513
1471017001,6734,6734
1471018801,6733,6733
1471020001,6781,6781
1471020600,6901,6901
1471023601,7022,7022
1471024200,7117,7117
1471026002,7111,7111
1471027201,7072,7072
1471027801,7346,7346
1471030801,7282,7282
1471031400,7544,7544
1471033200,7542,7542
1471034400,7487,7487
1471035000,7836,7836
1471038000,7823,7823
1471038600,8018,8018
1471040400,8017,8017
1471041600,7993,7993
1471042200,8213,8213
1471045200,8178,8178
1471045800,8418,8418
1471047600,8410,8410
1471048800,8354,8354
1471049400,8547,8547
1471052400,8493,8493
1471053000,8677,8677
1471054800,8674,8674
1471056000,8632,8632
1471056600,8810,8810
1471059600,8745,8745
1471060200,8859,8859
1471062000,8858,8858
1471063200,8812,8812
1471063800,9003,9003
1471066800,8939,8939
1471067400,9102,9102
1471069200,9102,9102
1471070400,9040,9040
1471071000,9159,9159
1471074000,9089,9089
1471074600,9247,9247
1471076400,9248,9248
1471077600,9175,9175
1471078200,9207,9207
1471081200,9092,9092
1471081800,9143,9143
1471083600,9139,9139
1471084800,9023,9023
1471085400,9045,9045
1471088400,8924,8924
1471089000,8963,8963
1471090800,8967,8967
1471092000,8886,8886
1471092600,8911,8911
1471094400,8912,8912
1471095600,8835,8835
1471096200,8864,8864
1471098000,8866,8866
1471099200,8859,8859
1471099800,8780,8780
1471102800,8701,8701
1471103400,8721,8721
1471105200,8715,8715
1471106400,8688,8688
1471107000,8708,8708
1471110000,8672,8672
1471110600,8704,8704
1471112400,8703,8703
1471113600,8687,8687
1471114200,8697,8697
1471117200,8670,8670
1471117800,8688,8688
1471119600,8684,8684
1471120800,8670,8670
1471121400,8680,8680
1471124400,8673,8673
1471125000,8680,8680
1471126800,8679,8679
1471128000,8663,8663
1471128600,8674,8674
1471131600,8658,8658
1471132200,8666,8666
1471134000,8666,8666
1471135200,8649,8649
1471135800,8664,8664
1471138800,8626,8626
1471139400,8635,8635
1471141200,8637,8637
1471142400,8552,8552
1471143000,8565,8565
1471146000,8462,8462
1471146600,8478,8478
1471148400,8479,8479
1471149600,8393,8393
1471150200,8397,8397
