DateTime,AddedIPs,RemovedIPs
1469430216,4,5
1469433815,3,4
1469436500,3,0
1469440952,0,2
1469444612,5,5
1469447601,4,3
1469451817,11,2
1469455409,2,3
1469458643,3,0
1469462546,1,0
1469466146,1,2
1469469074,3,0
1469473405,3,1
1469476942,1,5
1469479688,1,0
1469484203,1,7
1469487800,6,2
1469491033,3,4
1469494998,1,3
1469498597,2,7
1469501830,3,0
1469505795,4,3
1469509333,6,5
1469512078,3,4
1469516592,3,8
1469520191,2,0
1469523424,2,3
1469527396,1,5
1469530989,5,0
1469533916,2,2
1469538187,2,1
1469541786,1,9
1469545079,1,0
1469545384,0,1
1469548983,3,3
1469552582,3,1
1469556181,2,0
1469563379,3,4
1469566124,2,2
1469570578,2,2
1469574177,6,3
1469576861,2,6
1469581435,2,4
1469584974,2,9
1469587657,4,0
1469592171,4,5
1469595771,5,3
1469598454,2,0
1469602968,5,5
1469605379,2,4
1469606598,7,0
1469610197,1,2
1469617395,3,7
1469620994,1,0
1469624166,2,2
1469628194,0,5
1469631791,4,0
1469634902,2,1
1469638996,8,7
1469642589,3,3
1469645089,4,0
1469649787,1,3
1469653386,2,3
1469655886,3,1
1469660583,3,9
1469664182,1,0
1469666683,1,2
1469671381,2,2
1469674979,3,6
1469677480,1,4
1469682178,5,3
1469685777,7,11
1469688277,1,0
1469689376,0,5
1469692975,1,0
1469696574,3,2
1469699074,1,0
1469703772,3,3
1469707371,3,0
1469709871,0,3
1469714569,3,6
1469718169,5,2
1469720730,1,0
1469725366,2,5
1469729025,0,1
1469731526,3,0
1469736230,3,6
1469739761,7,0
1469742323,6,1
1469743421,0,2
1469746960,3,6
1469750577,2,2
1469754165,2,2
1469757756,2,0
1469760379,4,6
1469764955,2,7
1469768553,6,5
1469771177,4,0
1469772214,0,4
1469775753,1,0
1469779413,1,1
1469782522,3,0
1469783010,0,3
1469786610,1,3
1469790148,4,8
1469793319,1,0
1469797406,4,4
1469801006,3,2
1469803568,1,0
1469808276,7,6
1469811802,2,0
1469814487,5,1
1469818940,3,2
1469822599,4,2
1469825710,3,4
1469826205,0,2
1469829798,4,2
1469833397,3,0
1469836569,3,3
1469840596,2,4
1469844195,2,7
1469847427,3,0
1469851392,1,7
1469854992,2,3
1469858163,6,0
1469862190,3,2
1469865788,1,4
1469868960,2,0
1469872986,1,5
1469876587,6,3
1469879330,2,0
1469883784,2,9
1469887382,3,1
1469890554,5,0
1469898179,0,4
1469901779,0,1
1469905376,1,1
1469909233,3,2
1469912147,1,0
1469916173,3,2
1469919772,3,6
1469922334,2,1
1469926971,2,2
1469930631,2,2
1469933132,1,7
1469937769,1,2
1469941368,2,3
1469944051,4,3
1469948565,3,1
1469952164,0,3
1469954787,2,3
1469959363,1,5
1469963022,2,0
1469965584,4,3
1469970159,3,3
1469973758,4,1
1469976381,2,1
1469981016,3,5
1469987178,3,0
1469991814,7,3
1469995413,3,5
1469997975,0,3
1470002551,3,0
1470006150,3,2
1470008833,5,1
1470013408,5,6
1470016946,5,7
1470019569,5,0
1470024214,4,6
1470027804,2,0
1470030366,6,2
1470035002,2,2
1470038601,4,3
1470045799,1,5
1470049399,2,2
1470052082,3,0
1470056596,1,6
1470060135,2,0
1470063734,4,2
1470067332,1,1
1470070993,7,3
1470074592,5,0
1470078190,6,3
1470081423,6,1
1470085389,2,7
1470088986,1,3
1470092220,4,0
1470096184,1,3
1470099783,1,1
1470102470,2,3
1470103382,1,0
1470106981,1,8
1470110581,4,0
1470114187,2,3
1470117782,2,4
1470124610,3,0
1470128575,5,5
1470130015,1,0
1470135747,4,6
1470137393,6,0
1470139406,0,4
1470142945,5,1
1470146544,3,2
1470148739,3,0
1470153936,5,6
1470157340,7,0
1470158987,2,0
1470161000,0,2
1470164599,3,4
1470168137,3,1
1470170333,2,0
1470171736,0,1
1470175341,2,6
1470178996,5,0
1470180581,2,2
1470182595,0,3
1470186195,4,1
1470189794,1,0
1470191989,2,3
1470196992,2,5
1470200591,2,3
1470202178,5,3
1470207791,2,2
1470211390,2,2
1470213280,1,0
1470218586,1,1
1470222186,5,1
1470224381,3,5
1470229383,1,3
1470232984,1,2
1470235118,3,0
1470240182,6,1
1470243780,3,5
1470245427,1,0
1470247380,0,3
1470250978,0,2
1470254577,2,0
1470256773,4,3
1470261775,1,5
1470265435,3,4
1470267021,2,2
1470272573,3,1
1470276171,2,0
1470278428,2,2
1470279770,0,6
1470283369,3,0
1470287029,3,11
1470288615,3,0
1470290567,0,1
1470294227,2,0
1470297827,1,7
1470300022,3,0
1470304964,4,5
1470308583,5,1
1470310270,4,0
1470315760,0,2
1470321555,4,3
1470326558,0,6
1470330224,4,0
1470331742,3,7
1470337415,1,5
1470340953,2,2
1470342539,2,0
1470348151,6,4
1470351750,2,2
1470353336,3,0
1470358964,2,3
1470362547,0,1
1470364194,2,4
1470369806,3,2
1470373405,2,9
1470374991,3,0
1470377005,0,2
1470380544,2,2
1470384142,3,4
1470385789,3,0
1470387802,0,2
1470394999,1,2
1470396586,1,2
1470398598,0,1
1470402199,4,5
1470405736,2,0
1470407383,0,2
1470412995,6,2
1470416593,2,1
1470418185,1,2
1470423822,4,7
1470427376,1,2
1470429008,3,0
1470430958,0,5
1470434618,2,0
1470436937,2,3
1470441818,2,5
1470445418,4,1
1470447615,2,0
1470452562,0,6
1470456222,3,3
1470458447,4,0
1470463354,4,6
1470467023,2,0
1470469288,5,0
1470474160,3,7
1470477758,5,0
1470479838,1,4
1470485019,5,4
1470488618,1,6
1470490451,1,0
1470492156,0,3
1470495816,0,3
1470499419,2,1
1470501573,2,0
1470506551,1,5
1470510210,2,4
1470512414,1,0
1470517347,1,2
1470521007,2,2
1470523271,1,0
1470524607,0,3
1470528146,2,2
1470531745,2,2
1470535405,0,1
1470539010,2,3
1470542604,3,3
1470544312,5,0
1470549801,2,4
1470553401,1,1
1470560601,5,5
1470564199,1,3
1470566214,2,4
1470571397,2,5
1470574998,1,0
1470577316,2,0
1470582194,1,2
1470585794,4,0
1470587564,1,0
1470592992,3,2
1470596591,5,8
1470598848,5,0
1470607388,4,3
1470609645,3,0
1470614585,0,8
1470618185,3,0
1470620442,1,2
1470625383,3,5
1470628982,2,3
1470631239,1,0
1470632580,0,3
1470636179,4,3
1470639785,2,1
1470642036,1,0
1470646979,5,4
1470650575,1,0
1470652406,0,4
1470657775,1,4
1470661374,3,1
1470663691,1,0
1470668571,0,4
1470672169,6,3
1470674488,3,0
1470679368,2,9
1470682968,6,8
1470685346,2,0
1470690227,3,1
1470693764,4,2
1470696082,4,2
1470697363,0,3
1470704561,4,3
1470706270,1,3
1470711759,1,9
1470715418,3,4
1470717065,3,0
1470722556,3,6
1470726155,6,0
1470727924,3,1
1470729814,0,5
1470733420,2,0
1470736952,1,2
1470738660,4,4
1470744150,2,5
1470749518,3,5
1470754947,3,4
1470762151,5,6
1470765805,2,5
1470768123,5,0
1470773003,2,6
1470776602,2,6
1470778920,3,0
1470783800,2,7
1470787399,2,4
1470789781,3,0
1470794536,3,0
1470798196,1,4
1470800514,3,0
1470805393,2,1
1470808994,5,8
1470811372,3,0
1470816191,2,0
1470819799,1,5
1470821498,4,0
1470826989,6,3
1470830588,2,3
1470832295,2,0
1470837786,3,4
1470841384,2,7
1470843092,5,0
1470848583,6,2
1470852182,3,0
1470853950,1,2
1470859380,3,4
1470862978,3,1
1470864747,6,0
1470866576,0,3
1470870176,2,1
1470873774,2,2
1470875543,5,0
1470877435,0,1
1470880973,3,7
1470884634,2,4
1470886341,2,0
1470891832,4,2
1470895368,5,2
1470897138,4,0
1470898967,0,3
1470902627,4,0
1470906227,0,4
1470907935,2,0
1470909766,0,4
1470913424,1,4
1470916964,4,2
1470918732,3,0
1470920563,0,1
1470924161,2,2
1470927821,4,3
1470929529,1,0
1470935019,2,6
1470938619,1,4
1470940326,3,0
1470945756,4,3
1470949354,1,3
1470951123,3,0
1470956612,4,2
1470960213,1,6
1470961981,3,0
1470963750,0,1
1470967349,3,0
1470970948,2,5
1470972717,8,6
1470978208,4,2
1470981745,4,4
1470983575,3,0
1470988944,1,3
1470992543,3,2
1470996203,2,0
1470999800,2,4
1471003339,1,4
1471006944,6,1
1471010597,4,0
1471013891,1,4
1471017735,4,5
1471021394,0,2
1471024139,1,1
1471024994,0,7
1471028592,2,5
1471032130,3,0
1471035927,0,6
1471039329,4,0
1471042989,3,6
1471046160,1,0
1471050187,2,1
1471053785,0,3
1471057079,4,0
1471060984,5,8
1471064584,3,7
1471068182,3,0
1471071787,3,4
1471075379,2,7
1471078979,1,3
1471082640,0,3
1471086176,6,1
1471088983,2,0
1471093375,1,2
1471096973,2,4
1471100023,1,1
1471104172,2,0
1471107770,0,2
1471111370,4,1
1471114969,4,2
1471118575,1,2
1471122166,2,1
1471125765,4,4
1471129425,3,3
1471133024,1,0
1471136563,3,5
1471140223,5,0
1471143028,4,3
1471147360,5,3
1471150958,2,8
1471153459,2,0
1471158218,1,1
1471161755,1,7
