DateTime,AddedIPs,RemovedIPs
1469570578,2,2
1469574177,6,4
1469576861,3,2
1469581435,2,3
1469584974,4,1
1469587657,4,4
1469592171,4,5
1469595771,5,4
1469598454,2,3
1469602968,5,2
1469605379,2,1
1469606598,12,1
1469610197,1,1
1469613736,3,1
1469617395,3,1
1469620994,2,6
1469624166,2,1
1469624593,0,2
1469628194,1,1
1469631791,4,3
1469634902,3,1
1469638996,11,7
1469642589,4,0
1469645089,4,3
1469649787,3,2
1469653386,3,3
1469655886,3,4
1469656985,0,2
1469660583,5,6
1469664182,2,2
1469666683,2,1
1469671381,2,1
1469674979,3,3
1469677480,1,7
1469682178,6,4
1469685777,8,7
1469688277,1,1
1469689376,1,0
1469692975,1,5
1469696574,5,3
1469699074,2,1
1469700172,0,3
1469703772,4,4
1469707371,3,1
1469709871,1,0
1469711031,0,2
1469714569,7,0
1469718169,7,4
1469720730,1,3
1469725366,3,4
1469729025,0,8
1469731526,3,1
1469736230,3,8
1469739761,8,2
1469742323,6,4
1469743421,0,1
1469746960,5,1
1469750577,3,1
1469754165,2,4
1469757756,3,1
1469760379,5,4
1469764955,3,2
1469768553,6,6
1469771177,4,3
1469772214,0,3
1469775753,2,2
1469779413,4,2
1469782522,3,2
1469783010,0,1
1469786610,1,3
1469790148,4,3
1469793319,2,2
1469797406,4,2
1469801006,3,8
1469803568,1,3
1469808276,9,5
1469811802,3,3
1469814487,6,2
1469818940,3,3
1469822599,6,6
1469825710,4,2
1469826205,0,1
1469829798,4,4
1469833397,3,4
1469836569,3,0
1469836996,0,1
1469840596,2,5
1469844195,3,2
1469847427,4,3
1469851392,1,4
1469854992,3,3
1469858163,6,5
1469862190,3,4
1469865788,1,1
1469868960,2,3
1469872986,1,5
1469876587,9,5
1469879330,2,3
1469880184,0,1
1469883784,2,1
1469887382,3,7
1469890554,5,3
1469894580,0,4
1469898179,2,4
1469901779,0,3
1469905376,1,2
1469909233,4,5
1469912147,1,1
1469916173,4,2
1469919772,4,2
1469922334,5,5
1469923433,0,2
1469926971,3,2
1469930631,2,1
1469933132,2,1
1469937769,1,3
1469941368,2,4
1469944051,5,4
1469948565,4,1
1469952164,1,1
1469954787,2,6
1469955824,0,1
1469959363,1,3
1469963022,5,4
1469965584,4,3
1469970159,3,2
1469973758,6,1
1469976381,3,1
1469981016,5,1
1469984626,2,1
1469987178,3,1
1469988214,0,2
1469991814,7,6
1469995413,4,3
1469997975,2,1
1470002551,3,2
1470006150,3,2
1470008833,6,5
1470013408,5,7
1470016946,6,3
1470019569,5,2
1470024214,4,4
1470027804,2,4
1470030366,6,3
1470031403,0,1
1470035002,4,3
1470038601,4,2
1470041163,0,1
1470045799,3,4
1470049399,3,5
1470052082,4,4
1470052998,0,1
1470056596,2,3
1470060135,2,1
1470063734,5,6
1470067332,3,2
1470070993,8,5
1470074592,6,10
1470078190,7,2
1470081423,9,8
1470085389,3,1
1470088986,2,4
1470092220,6,2
1470096184,1,4
1470099783,1,3
1470102470,2,4
1470103382,1,0
1470106981,1,2
1470110581,4,7
1470114187,5,5
1470117782,3,5
1470121377,0,3
1470124610,3,2
1470128575,5,5
1470130015,1,1
1470132208,5,2
1470135747,4,4
1470137393,6,3
1470139406,0,1
1470142945,5,2
1470146544,5,7
1470148739,3,1
1470150143,0,1
1470153936,5,4
1470157340,10,5
1470158987,2,2
1470161000,0,1
1470164599,3,6
1470168137,3,6
1470170333,3,5
1470175341,2,4
1470178996,7,6
1470180581,4,2
1470186195,4,4
1470189794,1,0
1470191989,2,1
1470196992,2,3
1470200591,2,1
1470202178,5,7
1470207791,2,2
1470211390,2,2
1470213280,1,4
1470214988,0,1
1470218586,3,1
1470222186,6,4
1470224381,4,1
1470229383,1,3
1470232984,2,5
1470235118,3,0
1470240182,6,7
1470243780,3,3
1470245427,3,0
1470250978,2,2
1470254577,5,4
1470256773,4,1
1470261775,1,1
1470265435,4,3
1470267021,3,1
1470272573,4,3
1470276171,3,2
1470278428,2,8
1470279770,0,1
1470283369,4,3
1470287029,3,2
1470288615,3,2
1470294227,2,1
1470297827,1,3
1470300022,4,0
1470304964,4,5
1470308583,6,4
1470310270,4,4
1470315760,0,2
1470319359,2,1
1470321555,5,3
1470323020,0,3
1470330224,4,6
