DateTime,Entries,UniqueIPs
1469545079,1036,1036
1469548983,1038,1038
1469552582,1039,1039
1469556181,1042,1042
1469559780,1040,1040
1469563379,1038,1038
1469566124,1040,1040
1469566978,1039,1039
1469570578,1039,1039
1469574177,1041,1041
1469576861,1042,1042
1469581435,1041,1041
1469584974,1044,1044
1469587657,1044,1044
1469592171,1043,1043
1469595771,1044,1044
1469598454,1043,1043
1469602968,1046,1046
1469605379,1047,1047
1469606598,1058,1058
1469610197,1058,1058
1469613736,1060,1060
1469617395,1062,1062
1469620994,1058,1058
1469624166,1059,1059
1469624593,1057,1057
1469628194,1057,1057
1469631791,1058,1058
1469634902,1060,1060
1469638996,1064,1064
1469642589,1068,1068
1469645089,1069,1069
1469649787,1070,1070
1469653386,1070,1070
1469655886,1069,1069
1469656985,1067,1067
1469660583,1066,1066
1469664182,1066,1066
1469666683,1067,1067
1469671381,1068,1068
1469674979,1068,1068
1469677480,1062,1062
1469682178,1064,1064
1469685777,1065,1065
1469688277,1065,1065
1469689376,1066,1066
1469692975,1062,1062
1469696574,1064,1064
1469699074,1065,1065
1469700172,1062,1062
1469703772,1062,1062
1469707371,1064,1064
1469709871,1065,1065
1469711031,1063,1063
1469714569,1070,1070
1469718169,1073,1073
1469720730,1071,1071
1469725366,1070,1070
1469729025,1062,1062
1469731526,1064,1064
1469736230,1059,1059
1469739761,1065,1065
1469742323,1067,1067
1469743421,1066,1066
1469746960,1070,1070
1469750577,1072,1072
1469754165,1070,1070
1469757756,1072,1072
1469760379,1073,1073
1469764955,1074,1074
1469768553,1074,1074
1469771177,1075,1075
1469772214,1072,1072
1469775753,1072,1072
1469779413,1074,1074
1469782522,1075,1075
1469783010,1074,1074
1469786610,1072,1072
1469790148,1073,1073
1469793319,1073,1073
1469797406,1075,1075
1469801006,1070,1070
1469803568,1068,1068
1469808276,1072,1072
1469811802,1072,1072
1469814487,1076,1076
1469818940,1076,1076
1469822599,1076,1076
1469825710,1078,1078
1469826205,1077,1077
1469829798,1077,1077
1469833397,1076,1076
1469836569,1079,1079
1469836996,1078,1078
1469840596,1075,1075
1469844195,1076,1076
1469847427,1077,1077
1469851392,1074,1074
1469854992,1074,1074
1469858163,1075,1075
1469862190,1074,1074
1469865788,1074,1074
1469868960,1073,1073
1469872986,1069,1069
1469876587,1073,1073
1469879330,1072,1072
1469880184,1071,1071
1469883784,1072,1072
1469887382,1068,1068
1469890554,1070,1070
1469894580,1066,1066
1469898179,1064,1064
1469901779,1061,1061
1469905376,1060,1060
1469909233,1059,1059
1469912147,1059,1059
1469916173,1061,1061
1469919772,1063,1063
1469922334,1063,1063
1469923433,1061,1061
1469926971,1062,1062
1469930631,1063,1063
1469933132,1064,1064
1469937769,1062,1062
1469941368,1060,1060
1469944051,1061,1061
1469948565,1064,1064
1469952164,1064,1064
1469954787,1060,1060
1469955824,1059,1059
1469959363,1057,1057
1469963022,1058,1058
1469965584,1059,1059
1469970159,1060,1060
1469973758,1065,1065
1469976381,1067,1067
1469981016,1071,1071
1469984626,1072,1072
1469987178,1074,1074
1469988214,1072,1072
1469991814,1073,1073
1469995413,1074,1074
1469997975,1075,1075
1470002551,1076,1076
1470006150,1077,1077
1470008833,1078,1078
1470013408,1076,1076
1470016946,1079,1079
1470019569,1082,1082
1470024214,1082,1082
1470027804,1080,1080
1470030366,1083,1083
1470031403,1082,1082
1470035002,1083,1083
1470038601,1085,1085
1470041163,1084,1084
1470045799,1083,1083
1470049399,1081,1081
1470052082,1081,1081
1470052998,1080,1080
1470056596,1079,1079
1470060135,1080,1080
1470063734,1079,1079
1470067332,1080,1080
1470070993,1083,1083
1470074592,1079,1079
1470078190,1084,1084
1470081423,1085,1085
1470085389,1087,1087
1470088986,1085,1085
1470092220,1089,1089
1470096184,1086,1086
1470099783,1084,1084
1470102470,1082,1082
1470103382,1083,1083
1470106981,1082,1082
1470110581,1079,1079
1470114187,1079,1079
1470117782,1077,1077
1470121377,1074,1074
1470124610,1075,1075
1470128575,1075,1075
1470130015,1075,1075
1470132208,1078,1078
1470135747,1078,1078
1470137393,1081,1081
1470139406,1080,1080
1470142945,1083,1083
1470146544,1081,1081
1470148739,1083,1083
1470150143,1082,1082
1470153936,1083,1083
1470157340,1088,1088
1470158987,1088,1088
1470161000,1087,1087
1470164599,1084,1084
1470168137,1081,1081
1470170333,1079,1079
1470175341,1077,1077
1470178996,1078,1078
1470180581,1080,1080
1470186195,1080,1080
1470189794,1081,1081
1470191989,1082,1082
1470196992,1081,1081
1470200591,1082,1082
1470202178,1080,1080
1470207791,1080,1080
1470211390,1080,1080
1470213280,1077,1077
1470214988,1076,1076
1470218586,1078,1078
1470222186,1080,1080
1470224381,1083,1083
1470229383,1081,1081
1470232984,1078,1078
1470235118,1081,1081
1470240182,1080,1080
1470243780,1080,1080
1470245427,1083,1083
1470250978,1083,1083
1470254577,1084,1084
1470256773,1087,1087
1470261775,1087,1087
1470265435,1088,1088
1470267021,1090,1090
1470272573,1091,1091
1470276171,1092,1092
1470278428,1086,1086
1470279770,1085,1085
1470283369,1086,1086
1470287029,1087,1087
1470288615,1088,1088
1470294227,1089,1089
1470297827,1087,1087
1470300022,1091,1091
1470304964,1090,1090
1470308583,1092,1092
1470310270,1092,1092
1470315760,1090,1090
1470319359,1091,1091
1470321555,1093,1093
1470323020,1090,1090
1470330224,1088,1088
1470331742,1089,1089
1470333817,1086,1086
1470337415,1087,1087
1470340953,1089,1089
1470342539,1089,1089
1470344614,1088,1088
1470348151,1093,1093
1470351750,1092,1092
1470353336,1094,1094
1470358964,1090,1090
1470362547,1088,1088
1470364194,1086,1086
1470366207,1085,1085
1470369806,1082,1082
1470373405,1082,1082
1470374991,1082,1082
1470380544,1082,1082
1470384142,1082,1082
1470385789,1083,1083
1470391401,1082,1082
1470394999,1080,1080
1470396586,1082,1082
1470398598,1081,1081
1470402199,1081,1081
1470405736,1082,1082
1470407383,1077,1077
1470412995,1077,1077
1470416593,1078,1078
1470418185,1077,1077
1470423822,1074,1074
1470427376,1069,1069
1470429008,1073,1073
1470434618,1072,1072
1470436937,1072,1072
1470438225,1071,1071
1470441818,1072,1072
1470445418,1075,1075
1470447615,1077,1077
1470449016,1075,1075
1470452562,1074,1074
1470456222,1067,1067
1470458447,1068,1068
1470459835,1066,1066
1470463354,1068,1068
1470467023,1067,1067
1470469288,1067,1067
1470470562,1066,1066
1470474160,1067,1067
1470477758,1067,1067
1470479838,1065,1065
1470481421,1064,1064
1470485019,1069,1069
1470488618,1068,1068
1470490451,1069,1069
1470492156,1068,1068
1470495816,1067,1067
1470499419,1069,1069
1470501573,1070,1070
1470506551,1070,1070
1470510210,1069,1069
1470512414,1069,1069
1470517347,1069,1069
1470521007,1067,1067
1470523271,1066,1066
1470528146,1067,1067
1470531745,1064,1064
1470534125,1064,1064
1470539010,1063,1063
1470542604,1064,1064
1470544312,1065,1065
1470549801,1064,1064
1470553401,1064,1064
