DateTime,AddedIPs,RemovedIPs
1467405182,1,0
1467419581,0,1
1467423182,2,0
1467433981,1,0
1467444782,2,0
1467448381,0,1
1467459181,0,1
1467469981,0,1
1467473581,1,2
1467480781,5,2
1467487981,0,1
1467495181,3,3
1467502381,2,0
1467513182,1,0
1467523982,0,1
1467534781,1,0
1467541981,1,0
1467552781,0,3
1467556382,1,0
1467563581,3,0
1467570781,3,2
1467588781,4,3
1467595982,1,3
1467606781,0,2
1467624782,0,1
1467631981,1,2
1467642781,0,1
1467646382,2,3
1467664381,1,0
1467675181,0,2
1467678781,1,4
1467685981,0,1
1467693182,1,3
1467703982,0,1
1467718382,1,0
1467721981,0,1
1467725581,2,0
1467732781,0,2
1467736382,0,3
1467739982,1,0
1467747181,0,1
1467754381,0,2
1467757981,0,1
1467765181,0,1
1467772381,1,0
1467775981,0,1
1467786782,1,0
1467790381,0,3
1467793981,0,3
1467804781,0,5
1467808381,4,2
1467819181,0,3
1467822781,0,1
1467833581,3,1
1467837181,0,1
1467847981,2,2
1467855181,4,1
1467862381,0,1
1467873181,0,1
1467887581,0,2
1467894781,4,3
1467901981,4,1
1467905581,0,1
1467919982,1,2
1467927181,1,0
1467930781,0,1
1467941581,1,2
1467955981,1,0
1467977582,1,0
1467981181,0,1
1467991981,3,0
1467999181,2,1
1468006381,0,1
1468013581,0,2
1468017181,2,0
1468024382,1,0
1468031581,2,1
1468045981,1,0
1468049582,0,1
1468056781,1,0
1468060382,0,1
1468063981,3,0
1468067581,0,1
1468071181,0,2
1468074782,1,0
1468081981,0,1
1468085581,3,1
1468092781,4,6
1468099981,1,0
1468107181,1,1
1468110782,0,2
1468125181,1,0
1468139582,1,0
1468146781,0,4
1468150382,0,1
1468153981,1,0
1468161181,0,2
1468164781,1,0
1468168381,0,1
1468171981,1,0
1468179181,0,2
1468182781,1,0
1468186381,0,4
1468193581,0,2
1468200781,0,2
1468204381,1,0
1468207981,0,1
1468218781,2,0
1468225981,0,1
1468233181,0,1
1468236781,1,0
1468254781,0,2
1468258381,2,0
1468269181,0,1
1468272781,1,0
1468283581,1,0
1468290781,1,0
1468294381,0,2
1468297981,0,2
1468305181,0,1
1468308781,0,1
1468319581,1,0
1468326781,4,0
1468330381,0,1
1468344781,0,2
1468348381,2,0
1468351981,0,3
1468359181,0,1
1468366382,0,1
1468369981,1,0
1468387981,1,2
1468391581,0,1
1468409581,0,1
1468420381,0,1
1468427581,9,0
1468434781,2,1
1468452781,0,1
1468456381,0,1
1468467181,0,1
1468477981,0,2
1468488782,0,1
1468495981,0,1
1468499581,1,2
1468524781,3,0
1468531981,1,0
1468535581,0,1
1468542781,1,0
1468549982,1,0
1468557182,1,0
1468567981,0,1
1468578781,1,0
1468582381,0,1
1468585981,1,0
1468589581,0,4
